name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Kevin Durant,GSW ,29,17,17,100%,56,125,44.8,48.4,72.80%,47,91,51.6,27.20%,9,34,26.5
LeBron James,CLE ,33,18,18,100%,66,107,61.7,66.8,77.60%,55,83,66.3,22.40%,11,24,45.8
James Harden,HOU ,28,17,17,100%,42,93,45.2,53.2,54.80%,27,51,52.9,45.20%,15,42,35.7
Jaylen Brown,BOS ,21,18,18,100%,39,81,48.1,56.2,55.60%,26,45,57.8,44.40%,13,36,36.1
Terry Rozier,BOS ,24,19,19,100%,25,65,38.5,45.4,50.80%,16,33,48.5,49.20%,9,32,28.1
DeMar DeRozan,TOR ,28,10,10,100%,28,64,43.8,46.9,75.00%,24,48,50,25.00%,4,16,25
Kevin Love,CLE ,29,17,17,100%,22,62,35.5,39.5,67.70%,17,42,40.5,32.30%,5,20,25
Klay Thompson,GSW ,28,17,17,100%,28,61,45.9,50,65.60%,23,40,57.5,34.40%,5,21,23.8
Jayson Tatum,BOS ,20,19,19,100%,30,59,50.8,55.1,67.80%,25,40,62.5,32.20%,5,19,26.3
Al Horford,BOS ,31,19,18,100%,28,58,48.3,50.9,81.00%,25,47,53.2,19.00%,3,11,27.3
JR Smith,CLE ,32,18,18,100%,20,58,34.5,46.6,43.10%,6,25,24,56.90%,14,33,42.4
Jrue Holiday,NOP ,27,9,9,100%,31,56,55.4,60.7,67.90%,25,38,65.8,32.10%,6,18,33.3
Chris Paul,HOU ,33,15,15,100%,19,56,33.9,36.6,58.90%,16,33,48.5,41.10%,3,23,13
Marcus Morris,BOS ,28,19,19,100%,18,56,32.1,34.8,82.10%,15,46,32.6,17.90%,3,10,30
Clint Capela,HOU ,24,17,17,100%,29,51,56.9,56.9,100%,29,51,56.9,0.00%,0,0,-
Eric Gordon,HOU ,29,17,17,100%,21,51,41.2,50,41.20%,12,21,57.1,58.80%,9,30,30
Anthony Davis,NOP ,25,9,9,100%,25,50,50,52,92.00%,23,46,50,8.00%,2,4,50
Stephen Curry,GSW ,30,11,11,100%,21,50,42,51,38.00%,12,19,63.2,62.00%,9,31,29
Trevor Ariza,HOU ,32,17,16,100%,23,49,46.9,61.2,32.70%,9,16,56.3,67.30%,14,33,42.4
Donovan Mitchell,UTA ,21,11,11,100%,20,46,43.5,48.9,60.90%,15,28,53.6,39.10%,5,18,27.8
Draymond Green,GSW ,28,17,17,100%,18,43,41.9,47.7,53.50%,13,23,56.5,46.50%,5,20,25
Russell Westbrook,OKC ,29,6,6,100%,16,38,42.1,44.7,84.20%,14,32,43.8,15.80%,2,6,33.3
JJ Redick,PHI ,33,10,10,100%,17,37,45.9,56.8,43.20%,9,16,56.3,56.80%,8,21,38.1
Jae Crowder,UTA ,27,11,11,100%,14,35,40,55.7,42.90%,3,15,20,57.10%,11,20,55
Kyle Lowry,TOR ,32,10,10,100%,21,34,61.8,77.9,44.10%,10,15,66.7,55.90%,11,19,57.9
George Hill,CLE ,32,14,12,100%,20,34,58.8,66.2,67.60%,15,23,65.2,32.40%,5,11,45.5
John Wall,WAS ,27,6,6,100%,14,34,41.2,45.6,79.40%,11,27,40.7,20.60%,3,7,42.9
Dario Saric,PHI ,24,10,10,100%,12,34,35.3,38.2,70.60%,10,24,41.7,29.40%,2,10,20
Kyle Korver,CLE ,37,17,14,100%,12,34,35.3,48.5,17.60%,3,6,50,82.40%,9,28,32.1
Joe Ingles,UTA ,30,11,11,100%,18,33,54.5,71.2,33.30%,7,11,63.6,66.70%,11,22,50
Ben Simmons,PHI ,21,10,10,100%,14,33,42.4,42.4,100%,14,33,42.4,0.00%,0,0,-
Derrick Favors,UTA ,26,11,11,100%,18,31,58.1,59.7,90.30%,17,28,60.7,9.70%,1,3,33.3
Joel Embiid,PHI ,24,8,8,100%,14,31,45.2,48.4,74.20%,12,23,52.2,25.80%,2,8,25
Victor Oladipo,IND ,26,7,6,100%,13,31,41.9,54.8,54.80%,5,17,29.4,45.20%,8,14,57.1
Jonas Valanciunas,TOR ,26,10,9,100%,17,30,56.7,58.3,96.70%,16,29,55.2,3.30%,1,1,100
Bradley Beal,WAS ,24,6,6,100%,16,30,53.3,60,70.00%,12,21,57.1,30.00%,4,9,44.4
Giannis Antetokounmpo,MIL ,23,7,7,100%,15,29,51.7,53.4,86.20%,14,25,56,13.80%,1,4,25
Serge Ibaka,TOR ,28,10,9,100%,12,28,42.9,50,75.00%,8,21,38.1,25.00%,4,7,57.1
Marcus Smart,BOS ,24,15,15,100%,10,28,35.7,42.9,50.00%,6,14,42.9,50.00%,4,14,28.6
Gerald Green,HOU ,32,16,14,100%,10,27,37,53.7,14.80%,1,4,25,85.20%,9,23,39.1
Carmelo Anthony,OKC ,33,6,6,100%,10,27,37,42.6,63.00%,7,17,41.2,37.00%,3,10,30
Marco Belinelli,PHI ,32,10,9,100%,15,26,57.7,73.1,57.70%,7,15,46.7,42.30%,8,11,72.7
Andrew Wiggins,MIN ,23,5,5,100%,13,26,50,53.8,80.80%,11,21,52.4,19.20%,2,5,40
Khris Middleton,MIL ,26,7,6,100%,12,26,46.2,51.9,69.20%,9,18,50,30.80%,3,8,37.5
Robert Covington,PHI ,27,10,10,100%,9,26,34.6,42.3,42.30%,5,11,45.5,57.70%,4,15,26.7
Paul George,OKC ,28,6,6,100%,13,25,52,66,60.00%,6,15,40,40.00%,7,10,70
Darren Collison,IND ,30,7,7,100%,10,25,40,42,72.00%,9,18,50,28.00%,1,7,14.3
LaMarcus Aldridge,SAS ,32,5,5,100%,12,24,50,50,91.70%,12,22,54.5,8.30%,0,2,0
Andre Iguodala,GSW ,34,13,10,100%,11,24,45.8,54.2,62.50%,7,15,46.7,37.50%,4,9,44.4
Rudy Gobert,UTA ,25,11,10,100%,16,22,72.7,72.7,100%,16,22,72.7,0.00%,0,0,-
Aron Baynes,BOS ,31,19,14,100%,15,22,68.2,70.5,81.80%,14,18,77.8,18.20%,1,4,25
Ersan Ilyasova,PHI ,31,10,10,100%,9,22,40.9,43.2,59.10%,8,13,61.5,40.90%,1,9,11.1
Nikola Mirotic,NOP ,27,9,7,100%,8,22,36.4,45.5,31.80%,4,7,57.1,68.20%,4,15,26.7
Myles Turner,IND ,22,7,6,100%,11,21,52.4,52.4,90.50%,11,19,57.9,9.50%,0,2,0
OG Anunoby,TOR ,20,10,9,100%,12,20,60,72.5,40.00%,7,8,87.5,60.00%,5,12,41.7
E'Twaun Moore,NOP ,29,9,8,100%,11,20,55,65,55.00%,7,11,63.6,45.00%,4,9,44.4
Goran Dragic,MIA ,32,5,5,100%,9,20,45,50,65.00%,7,13,53.8,35.00%,2,7,28.6
PJ Tucker,HOU ,33,17,11,100%,8,20,40,55,45.00%,2,9,22.2,55.00%,6,11,54.5
Markieff Morris,WAS ,28,6,5,100%,8,20,40,40,80.00%,8,16,50,20.00%,0,4,0
Kevon Looney,GSW ,22,17,9,100%,11,19,57.9,57.9,100%,11,19,57.9,0.00%,0,0,-
Jimmy Butler,MIN ,28,5,5,100%,11,19,57.9,60.5,78.90%,10,15,66.7,21.10%,1,4,25
Rajon Rondo,NOP ,32,9,9,100%,9,19,47.4,50,84.20%,8,16,50,15.80%,1,3,33.3
Eric Bledsoe,MIL ,28,7,7,100%,7,19,36.8,36.8,78.90%,7,15,46.7,21.10%,0,4,0
CJ McCollum,POR ,26,4,4,100%,7,18,38.9,41.7,61.10%,6,11,54.5,38.90%,1,7,14.3
Patty Mills,SAS ,29,5,5,100%,7,18,38.9,52.8,38.90%,2,7,28.6,61.10%,5,11,45.5
Damian Lillard,POR ,27,4,4,100%,6,18,33.3,41.7,44.40%,3,8,37.5,55.60%,3,10,30
Rudy Gay,SAS ,31,5,5,100%,9,17,52.9,55.9,82.40%,8,14,57.1,17.60%,1,3,33.3
Bojan Bogdanovic,IND ,29,7,6,100%,6,17,35.3,41.2,52.90%,4,9,44.4,47.10%,2,8,25
JaVale McGee,GSW ,30,6,6,100%,10,15,66.7,66.7,100%,10,15,66.7,0.00%,0,0,-
Tristan Thompson,CLE ,27,13,9,100%,10,15,66.7,66.7,100%,10,15,66.7,0.00%,0,0,-
Lance Stephenson,IND ,27,7,6,100%,9,15,60,73.3,53.30%,5,8,62.5,46.70%,4,7,57.1
Malcolm Brogdon,MIL ,25,7,7,100%,8,15,53.3,53.3,86.70%,8,13,61.5,13.30%,0,2,0
Al-Farouq Aminu,POR ,27,4,4,100%,7,15,46.7,63.3,40.00%,2,6,33.3,60.00%,5,9,55.6
Dante Exum,UTA ,22,10,7,100%,7,15,46.7,46.7,93.30%,7,14,50,6.70%,0,1,0
Wayne Ellington,MIA ,30,5,5,100%,5,15,33.3,50,20.00%,0,3,0,80.00%,5,12,41.7
Jeff Green,CLE ,31,17,11,100%,5,15,33.3,33.3,60.00%,5,9,55.6,40.00%,0,6,0
Thaddeus Young,IND ,29,7,7,100%,8,14,57.1,60.7,85.70%,7,12,58.3,14.30%,1,2,50
Jeff Teague,MIN ,29,5,5,100%,6,14,42.9,53.6,35.70%,3,5,60,64.30%,3,9,33.3
Shaun Livingston,GSW ,32,17,11,100%,8,13,61.5,61.5,100%,8,13,61.5,0.00%,0,0,-
Solomon Hill,NOP ,27,8,5,100%,7,13,53.8,69.2,23.10%,3,3,100,76.90%,4,10,40
Evan Turner,POR ,29,3,3,100%,6,13,46.2,50,92.30%,5,12,41.7,7.70%,1,1,100
Marcin Gortat,WAS ,34,6,5,100%,5,13,38.5,38.5,100%,5,13,38.5,0.00%,0,0,-
Jabari Parker,MIL ,23,7,7,100%,5,13,38.5,46.2,61.50%,3,8,37.5,38.50%,2,5,40
Ricky Rubio,UTA ,27,6,6,100%,5,13,38.5,38.5,84.60%,5,11,45.5,15.40%,0,2,0
Kelly Oubre Jr.,WAS ,22,6,6,100%,4,13,30.8,34.6,53.80%,3,7,42.9,46.20%,1,6,16.7
Taj Gibson,MIN ,32,5,5,100%,9,12,75,75,100%,9,12,75,0.00%,0,0,-
Tyler Johnson,MIA ,26,5,4,100%,7,12,58.3,66.7,66.70%,5,8,62.5,33.30%,2,4,50
Jusuf Nurkic,POR ,23,4,4,100%,5,12,41.7,41.7,100%,5,12,41.7,0.00%,0,0,-
Mike Scott,WAS ,29,6,5,100%,7,11,63.6,77.3,54.50%,4,6,66.7,45.50%,3,5,60
Quinn Cook,GSW ,25,10,7,100%,5,11,45.5,45.5,45.50%,5,5,100,54.50%,0,6,0
Otto Porter Jr.,WAS ,24,5,5,100%,5,11,45.5,45.5,100%,5,11,45.5,0.00%,0,0,-
Karl-Anthony Towns,MIN ,22,5,4,100%,5,11,45.5,54.5,63.60%,3,7,42.9,36.40%,2,4,50
Rodney Hood,CLE ,25,12,7,100%,4,11,36.4,36.4,54.50%,4,6,66.7,45.50%,0,5,0
Royce O'Neale,UTA ,24,11,9,100%,3,11,27.3,31.8,45.50%,2,5,40,54.50%,1,6,16.7
James Johnson,MIA ,31,5,4,100%,8,10,80,95,70.00%,5,7,71.4,30.00%,3,3,100
Dwyane Wade,MIA ,36,5,5,100%,7,10,70,70,100%,7,10,70,0.00%,0,0,-
Jordan Clarkson,CLE ,25,12,7,100%,4,10,40,40,70.00%,4,7,57.1,30.00%,0,3,0
Justise Winslow,MIA ,22,5,4,100%,3,10,30,45,20.00%,0,2,0,80.00%,3,8,37.5
Danny Green,SAS ,30,5,5,100%,2,10,20,25,30.00%,1,3,33.3,70.00%,1,7,14.3
