name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Jamal Crawford,MIN ,38,5,5,100%,1,10,10,10,60.00%,1,6,16.7,40.00%,0,4,0
Steven Adams,OKC ,24,6,4,100%,8,9,88.9,88.9,100%,8,9,88.9,0.00%,0,0,-
Thon Maker,MIL ,21,5,3,100%,5,9,55.6,61.1,44.40%,4,4,100,55.60%,1,5,20
Nene,HOU ,35,10,6,100%,5,9,55.6,55.6,100%,5,9,55.6,0.00%,0,0,-
Manu Ginobili,SAS ,40,5,5,100%,4,9,44.4,61.1,44.40%,1,4,25,55.60%,3,5,60
Delon Wright,TOR ,26,9,6,100%,4,9,44.4,55.6,44.40%,2,4,50,55.60%,2,5,40
Dejounte Murray,SAS ,21,5,5,100%,3,9,33.3,38.9,88.90%,2,8,25,11.10%,1,1,100
Semi Ojeleye,BOS ,23,11,6,100%,3,9,33.3,44.4,22.20%,1,2,50,77.80%,2,7,28.6
Nick Young,GSW ,32,10,6,100%,3,9,33.3,50,0.00%,0,0,-,100%,3,9,33.3
Josh Richardson,MIA ,24,5,3,100%,2,9,22.2,27.8,55.60%,1,5,20,44.40%,1,4,25
Domantas Sabonis,IND ,22,7,4,100%,4,8,50,50,100%,4,8,50,0.00%,0,0,-
Luc Mbah a Moute,HOU ,31,9,6,100%,4,8,50,62.5,62.50%,2,5,40,37.50%,2,3,66.7
Alec Burks,UTA ,26,6,4,100%,4,8,50,56.3,75.00%,3,6,50,25.00%,1,2,50
Ian Clark,NOP ,27,9,5,100%,4,8,50,68.8,37.50%,1,3,33.3,62.50%,3,5,60
Jose Calderon,CLE ,36,5,5,100%,2,8,25,31.3,25.00%,1,2,50,75.00%,1,6,16.7
CJ Miles,TOR ,31,10,6,100%,2,8,25,31.3,25.00%,1,2,50,75.00%,1,6,16.7
Darius Miller,NOP ,28,8,6,100%,2,8,25,31.3,25.00%,1,2,50,75.00%,1,6,16.7
David West,GSW ,37,11,5,100%,5,7,71.4,71.4,100%,5,7,71.4,0.00%,0,0,-
Kelly Olynyk,MIA ,27,5,3,100%,4,7,57.1,78.6,28.60%,1,2,50,71.40%,3,5,60
Hassan Whiteside,MIA ,28,5,3,100%,1,7,14.3,14.3,100%,1,7,14.3,0.00%,0,0,-
Larry Nance Jr.,CLE ,25,12,3,100%,5,6,83.3,83.3,83.30%,5,5,100,16.70%,0,1,0
T.J. McConnell,PHI ,26,6,3,100%,5,6,83.3,91.7,83.30%,4,5,80,16.70%,1,1,100
Amir Johnson,PHI ,31,8,4,100%,4,6,66.7,66.7,100%,4,6,66.7,0.00%,0,0,-
Raymond Felton,OKC ,33,6,4,100%,3,6,50,58.3,83.30%,2,5,40,16.70%,1,1,100
Tony Parker,SAS ,36,5,3,100%,3,6,50,50,100%,3,6,50,0.00%,0,0,-
Kyle Anderson,SAS ,24,5,3,100%,2,6,33.3,33.3,50.00%,2,3,66.7,50.00%,0,3,0
Jerami Grant,OKC ,24,5,3,100%,5,5,100,110,80.00%,4,4,100,20.00%,1,1,100
John Henson,MIL ,27,2,2,100%,4,5,80,80,100%,4,5,80,0.00%,0,0,-
Matthew Dellavedova,MIL ,27,5,5,100%,3,5,60,70,40.00%,2,2,100,60.00%,1,3,33.3
Maurice Harkless,POR ,25,2,2,100%,3,5,60,60,60.00%,3,3,100,40.00%,0,2,0
Jakob Poeltl,TOR ,22,8,4,100%,3,5,60,60,100%,3,5,60,0.00%,0,0,-
Corey Brewer,OKC ,32,6,4,100%,3,5,60,90,20.00%,0,1,0,80.00%,3,4,75
Gorgui Dieng,MIN ,28,5,4,100%,2,5,40,50,60.00%,1,3,33.3,40.00%,1,2,50
Zach Collins,POR ,20,3,3,100%,2,5,40,40,40.00%,2,2,100,60.00%,0,3,0
Pau Gasol,SAS ,37,5,4,100%,2,5,40,50,60.00%,1,3,33.3,40.00%,1,2,50
Fred VanVleet,TOR ,24,3,2,100%,2,5,40,50,40.00%,1,2,50,60.00%,1,3,33.3
Ty Lawson,WAS ,30,5,2,100%,1,5,20,30,60.00%,0,3,0,40.00%,1,2,50
Ryan Anderson,HOU ,30,6,4,100%,1,5,20,20,20.00%,1,1,100,80.00%,0,4,0
Pascal Siakam,TOR ,24,10,3,100%,3,4,75,87.5,75.00%,2,3,66.7,25.00%,1,1,100
Greg Monroe,BOS ,27,5,3,100%,2,4,50,50,100%,2,4,50,0.00%,0,0,-
Ian Mahinmi,WAS ,31,6,3,100%,2,4,50,50,100%,2,4,50,0.00%,0,0,-
Tony Snell,MIL ,26,7,4,100%,1,4,25,37.5,0.00%,0,0,-,100%,1,4,25
Alex Abrines,OKC ,24,6,3,100%,1,4,25,25,50.00%,1,2,50,50.00%,0,2,0
Markelle Fultz,PHI ,20,3,2,100%,0,4,0,0,100%,0,4,0,0.00%,0,0,-
Jordan Bell,GSW ,23,5,3,100%,2,3,66.7,66.7,100%,2,3,66.7,0.00%,0,0,-
Davis Bertans,SAS ,25,3,1,100%,1,3,33.3,50,0.00%,0,0,-,100%,1,3,33.3
Derrick Rose,MIN ,29,2,1,100%,1,3,33.3,33.3,100%,1,3,33.3,0.00%,0,0,-
Pat Connaughton,POR ,25,3,2,100%,0,3,0,0,0.00%,0,0,-,100%,0,3,0
Shane Larkin,BOS ,25,9,2,100%,2,2,100,100,100%,2,2,100,0.00%,0,0,-
Patrick Patterson,OKC ,29,2,1,100%,2,2,100,150,0.00%,0,0,-,100%,2,2,100
Tyler Zeller,MIL ,28,7,2,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Ed Davis,POR ,28,3,2,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Jonas Jerebko,UTA ,31,6,2,100%,0,2,0,0,0.00%,0,0,-,100%,0,2,0
Nemanja Bjelica,MIN ,30,5,2,100%,0,2,0,0,50.00%,0,1,0,50.00%,0,1,0
Raul Neto,UTA ,26,4,1,100%,0,2,0,0,50.00%,0,1,0,50.00%,0,1,0
Bam Adebayo,MIA ,20,5,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Cory Joseph,IND ,26,7,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Wade Baldwin IV,POR ,22,2,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Bryn Forbes,SAS ,24,1,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Tyus Jones,MIN ,22,4,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Justin Anderson,PHI ,24,1,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Tomas Satoransky,WAS ,26,3,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Joe Johnson,HOU ,36,3,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Guerschon Yabusele,BOS ,22,2,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
