name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
LeBron James,CLE ,33,17,16,100%,50,99,50.5,55.1,66.70%,41,66,62.1,33.30%,9,33,27.3
James Harden,HOU ,28,17,16,100%,34,77,44.2,50,57.10%,25,44,56.8,42.90%,9,33,27.3
Klay Thompson,GSW ,28,17,17,100%,29,67,43.3,53.7,47.80%,15,32,46.9,52.20%,14,35,40
Chris Paul,HOU ,33,15,15,100%,33,62,53.2,59.7,69.40%,25,43,58.1,30.60%,8,19,42.1
Donovan Mitchell,UTA ,21,11,11,100%,26,61,42.6,46.7,67.20%,21,41,51.2,32.80%,5,20,25
Marcus Morris,BOS ,28,18,17,100%,25,60,41.7,49.2,53.30%,16,32,50,46.70%,9,28,32.1
Jayson Tatum,BOS ,20,19,18,100%,29,58,50,54.3,72.40%,24,42,57.1,27.60%,5,16,31.3
Terry Rozier,BOS ,24,17,17,100%,27,55,49.1,62.7,30.90%,12,17,70.6,69.10%,15,38,39.5
Stephen Curry,GSW ,30,11,11,100%,24,51,47.1,55.9,52.90%,15,27,55.6,47.10%,9,24,37.5
Kevin Durant,GSW ,29,15,14,100%,23,51,45.1,50,64.70%,18,33,54.5,35.30%,5,18,27.8
Jaylen Brown,BOS ,21,15,15,100%,26,50,52,57,62.00%,21,31,67.7,38.00%,5,19,26.3
Eric Gordon,HOU ,29,17,17,100%,20,47,42.6,53.2,34.00%,10,16,62.5,66.00%,10,31,32.3
Al Horford,BOS ,31,16,15,100%,23,44,52.3,58,75.00%,18,33,54.5,25.00%,5,11,45.5
Jordan Clarkson,CLE ,25,16,15,100%,12,42,28.6,34.5,54.80%,7,23,30.4,45.20%,5,19,26.3
Anthony Davis,NOP ,25,8,8,100%,20,40,50,52.5,82.50%,18,33,54.5,17.50%,2,7,28.6
Draymond Green,GSW ,28,16,14,100%,17,39,43.6,50,66.70%,12,26,46.2,33.30%,5,13,38.5
JJ Redick,PHI ,33,10,10,100%,15,38,39.5,47.4,39.50%,9,15,60,60.50%,6,23,26.1
Dario Saric,PHI ,24,10,8,100%,20,36,55.6,63.9,55.60%,14,20,70,44.40%,6,16,37.5
Russell Westbrook,OKC ,29,6,5,100%,14,36,38.9,43.1,69.40%,11,25,44,30.60%,3,11,27.3
Marcus Smart,BOS ,24,15,14,100%,12,36,33.3,37.5,55.60%,9,20,45,44.40%,3,16,18.8
Jrue Holiday,NOP ,27,8,7,100%,22,34,64.7,70.6,73.50%,18,25,72,26.50%,4,9,44.4
Quinn Cook,GSW ,25,12,10,100%,15,34,44.1,52.9,52.90%,9,18,50,47.10%,6,16,37.5
