name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Maurice Harkless,POR,25,2,0,2,26.6,8,3.5,6.5,53.8,1,3,33.3,0,0,0,1.5,2.5,4,2,0.5,0,0.5,2,16.8,0,0,-3
Andre Iguodala,GSW,34,13,10,3,27.4,7.9,2.7,5.6,47.9,0.8,2.4,35.5,1.7,2.5,68.8,0.8,4.2,4.9,3.1,1,1.4,0.4,1.8,22.8,0,0,6.5
OG Anunoby,TOR,20,10,4,6,23.8,7.9,2.9,5.2,55.8,1.3,2.9,44.8,0.8,1.1,72.7,0.9,1.2,2.1,0.7,0.6,0.6,0.4,2.3,13.9,0,0,-2.3
Dejounte Murray,SAS,21,5,1,4,19.2,7.8,2.8,6.2,45.2,0.8,1.2,66.7,1.4,1.8,77.8,0.8,3.4,4.2,1.8,1,1,0.4,2.2,18.7,0,0,-3.2
Wayne Ellington,MIA,30,5,1,4,20.1,7.8,2.4,7,34.3,2.4,6,40,0.6,0.6,100,0.2,1.4,1.6,0.6,0.6,0.4,0.4,1.8,12.4,0,0,-8.8
Ian Clark,NOP,27,9,5,4,21.1,7.8,3.1,7.3,42.4,1.1,3.1,35.7,0.4,0.4,100,0.2,0.9,1.1,1.2,1,0.9,0.2,2.2,13.3,0,0,-4.2
Jerami Grant,OKC,24,6,2,4,22.1,7.2,3,5.8,51.4,0.3,1.3,25,0.8,1.8,45.5,1.3,2,3.3,1,1,0.7,0.5,2.5,15.2,0,0,4.8
Royce O'Neale,UTA,24,11,5,6,23.5,7.1,2.5,5.1,50,0.9,2.5,35.7,1.1,1.7,63.2,0.3,3.2,3.5,1.4,1.5,0.9,0.4,2.7,15.6,0,0,-6.1
Zach Collins,POR,20,4,0,4,17.4,7,2.8,7.5,36.7,0.8,3.5,21.4,0.8,1,75,0.8,2.3,3,1.5,0.5,0.8,0.5,2.5,16.1,0,0,-6
Fred VanVleet,TOR,24,6,2,4,19.1,6.8,2.2,6.5,33.3,1.3,4.7,28.6,1.2,1.3,87.5,0,1.7,1.7,2.2,0.7,0,0,1.3,11.4,0,0,1
Pascal Siakam,TOR,24,10,4,6,17.9,6.6,2.5,4.1,61,0.3,0.4,75,1.3,2,65,0.9,2.7,3.6,0.8,0.7,0.1,0.6,2.7,13.5,0,0,-1.9
Tony Parker,SAS,36,5,1,4,13.3,6.6,2.8,7.4,37.8,0,1,0,1,1.4,71.4,0,0.8,0.8,1.2,0.8,0.4,0,0.4,9.8,0,0,-7.2
