name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Tony Snell,MIL,26,7,3,4,19.1,2.7,1,3.4,29.2,0.7,3,23.8,0,0,0,0.1,1.7,1.9,0.6,0.4,0.4,0.6,1.4,8.4,0,0,-0.9
Raul Neto,UTA,26,8,3,5,9,2.6,0.9,2.9,30.4,0.3,0.9,28.6,0.6,0.6,100,0.3,1,1.3,1.3,0.5,0.3,0,0.9,6.3,0,0,0.4
Trevor Booker,IND,30,7,3,4,9.1,2.6,0.9,1.4,60,0,0.1,0,0.9,1,85.7,0.7,1.9,2.6,0,0.1,0.1,0.1,1.7,6.4,0,0,0.4
Derrick White,SAS,23,3,0,3,6.1,2.3,1,2,50,0.3,0.7,50,0,0,0,0,0,0,0.3,0,0.3,0.7,0,5.8,0,0,0.7
Sterling Brown,MIL,23,3,1,2,4.2,2.3,1,1.7,60,0.3,1,33.3,0,0,0,0.3,0.3,0.7,0,0,0.3,0,0.7,4.1,0,0,0.3
Lorenzo Brown,TOR,27,4,1,3,7.2,2.3,0.8,2.5,30,0.5,1.3,40,0.3,0.5,50,0.3,1.3,1.5,0.5,0.3,0,0.3,0.5,5.3,0,0,-4.3
Jose Calderon,CLE,36,10,5,5,9.7,2,0.7,2.2,31.8,0.4,1.7,23.5,0.2,0.2,100,0.1,0.7,0.8,0.7,0.5,0.4,0,1.5,4.7,0,0,0.4
Matthew Dellavedova,MIL,27,6,3,3,12.9,2,0.7,2,33.3,0.3,1.5,22.2,0.3,0.3,100,0.2,0.7,0.8,2.7,1,0.3,0,1,7,0,0,-0.2
Brandon Jennings,MIL,28,1,1,0,4.9,2,0,2,0,0,2,0,2,2,100,0,0,0,0,1,0,0,0,1,0,0,-1
Aaron Brooks,MIN,33,2,1,1,1.3,2,1,1.5,66.7,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Norman Powell,TOR,25,6,3,3,6.7,2,0.7,2.3,28.6,0.2,1.2,14.3,0.5,0.7,75,0,0.3,0.3,0.3,0.2,0,0,0.7,2.7,0,0,-1.7
Joffrey Lauvergne,SAS,26,1,0,1,5.9,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.2,0,0,3
Jason Terry,MIL,40,3,0,3,14.6,2,0.7,1.7,40,0.7,1.7,40,0,0,0,0.3,0.3,0.7,0.7,0.3,0.3,0,0.7,4.5,0,0,0.3
Tony Bradley,UTA,20,1,0,1,1.9,2,1,2,50,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3.2,0,0,2
Jonas Jerebko,UTA,31,10,4,6,7.9,1.9,0.8,1.9,42.1,0.1,0.6,16.7,0.2,0.2,100,0.4,1.2,1.6,0.3,0.1,0.3,0,0.9,5.1,0,0,-1
Semi Ojeleye,BOS,23,17,10,7,13.5,1.9,0.6,1.9,30.3,0.4,1.3,27.3,0.4,0.4,85.7,0.2,1.4,1.6,0.1,0.1,0.2,0,1.2,4.4,0,0,-2.4
Zaza Pachulia,GSW,34,5,3,2,4,1.8,0.6,0.8,75,0,0,0,0.6,1.2,50,1,0.8,1.8,0.2,0.4,0.6,0,0.2,5.7,0,0,4.4
Ryan Anderson,HOU,30,11,5,6,8.7,1.7,0.6,1.8,35,0.5,1.4,33.3,0,0,0,0.4,0.8,1.2,0.5,0.3,0.3,0.1,0.9,4.8,0,0,-5.2
Markelle Fultz,PHI,20,3,2,1,7.6,1.7,0.3,2.3,14.3,0,0,0,1,1.3,75,0,1,1,1.7,0.3,0.7,0,1.3,7,0,0,0.7
Tyler Zeller,MIL,28,7,3,4,9.4,1.6,0.6,0.7,80,0,0,0,0.4,0.6,75,0.3,1.7,2,0.4,0.1,0.6,0.4,1.6,7.5,0,0,-4.9
Joe Johnson,HOU,36,8,5,3,6.7,1.5,0.8,2.1,35.3,0,0.4,0,0,0,0,0,1.3,1.3,0.4,0.4,0,0.1,0.5,3.6,0,0,-5
Cheick Diallo,NOP,21,7,4,3,6.9,1.4,0.7,1.7,41.7,0,0,0,0,0,0,0.6,0.7,1.3,0,0.1,0.1,0.1,1.3,3.7,0,0,-3.9
Ante Zizic,CLE,21,5,2,3,3.5,1.4,0.4,1.4,28.6,0,0,0,0.6,1.2,50,0,1,1,0.2,0.4,0,0.2,0,3.1,0,0,1
Jordan Bell,GSW,23,13,9,4,9.2,1.4,0.5,1.4,38.9,0,0,0,0.3,0.6,50,0.8,1.8,2.6,0.8,0.5,0.4,0.5,1.1,8.1,0,0,2.2
Patrick Patterson,OKC,29,6,2,4,9.6,1.3,0.5,1,50,0.3,0.7,50,0,0,0,0.2,1.7,1.8,0.5,0.5,0.2,0,1.3,4.3,0,0,-4
Tomas Satoransky,WAS,26,6,2,4,10,1.2,0.3,2.2,15.4,0,0.5,0,0.5,0.7,75,0.8,0.7,1.5,0.5,0.5,0,0,0.7,3.2,0,0,-1.3
Justin Anderson,PHI,24,7,5,2,4.7,1.1,0.4,1.1,37.5,0.3,1,28.6,0,0,0,0.1,1.1,1.3,0,0.3,0.1,0,1.1,2.8,0,0,0.6
Abdel Nader,BOS,24,11,6,5,3,1.1,0.5,1.4,33.3,0,0.4,0,0.2,0.4,50,0.1,0.2,0.3,0.3,0.2,0.1,0.1,0.2,2.2,0,0,-0.9
Terrance Ferguson,OKC,20,3,1,2,2.1,1,0.3,0.3,100,0.3,0.3,100,0,0,0,0.3,0,0.3,0.3,0,0,0,0.7,1.9,0,0,3.7
Wade Baldwin IV,POR,22,4,0,4,4.8,1,0.3,1,25,0.3,0.3,100,0.3,0.5,50,0,0.8,0.8,0.8,0.8,0.3,0.3,0.3,3.8,0,0,1.8
Tyus Jones,MIN,22,4,1,3,13.7,1,0.5,1.8,28.6,0,0.5,0,0,0,0,0,2.3,2.3,2,0.3,0.3,0,0,7.2,0,0,0.8
Glenn Robinson III,IND,24,2,1,1,2.8,1,0.5,0.5,100,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1.6,0,0,0.5
Patrick McCaw,GSW,22,2,2,0,2.7,1,0.5,1,50,0,0.5,0,0,0,0,0,1,1,0,0,0.5,0,0.5,3.7,0,0,1
Damian Jones,GSW,22,4,4,0,2.7,1,0.3,0.5,50,0,0,0,0.5,0.8,66.7,0.3,0.5,0.8,0,0.8,0,0,1,1.2,0,0,-5
David Stockton,UTA,26,2,1,1,2.9,1,0.5,1.5,33.3,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,1.6,0,0,1.5
Cedi Osman,CLE,23,11,5,6,4.8,0.9,0.4,1.2,30.8,0.1,0.5,16.7,0.1,0.4,25,0.1,0.5,0.5,0.3,0,0.3,0,0.5,2.8,0,0,0.9
Josh Huestis,OKC,26,4,1,3,4.8,0.8,0.3,0.5,50,0,0,0,0.3,0.5,50,0,0.8,0.8,0,0,0.3,0.3,0.8,3.2,0,0,-0.3
Aaron Jackson,HOU,32,7,5,2,2.4,0.7,0.3,0.6,50,0,0.3,0,0.1,0.3,50,0.3,0.3,0.6,0.3,0.3,0,0,0.3,1.5,0,0,-1
Zhou Qi,HOU,22,3,2,1,1.9,0.7,0.3,0.3,100,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,1.1,0,0,0
Rodney McGruder,MIA,26,4,1,3,4,0.5,0.3,1,25,0,0.5,0,0,0,0,0,1,1,0,0,0,0,0.8,1.7,0,0,-2
Ekpe Udoh,UTA,31,6,2,4,3.5,0.3,0.2,0.2,100,0,0,0,0,0.7,0,0.2,0.3,0.5,0,0.2,0,0.3,0.3,1.8,0,0,-0.8
DeAndre Liggins,NOP,30,3,2,1,4.5,0.3,0,0.3,0,0,0,0,0.3,0.7,50,0,0.3,0.3,0,0.7,0,0,0,0.1,0,0,-7.3
Guerschon Yabusele,BOS,22,12,6,6,4,0.3,0.1,0.8,11.1,0,0.5,0,0.2,0.4,40,0.3,0.7,0.9,0.3,0,0.2,0,0.8,2.3,0,0,-0.3
Tarik Black,HOU,26,7,5,2,2.7,0.3,0.1,0.6,25,0,0,0,0,0,0,0.3,0.6,0.9,0.3,0.1,0,0.1,0.7,2,0,0,-2.9
Lucas Nogueira,TOR,25,5,2,3,4.8,0.2,0,0.2,0,0,0,0,0.2,0.4,50,0,0.2,0.2,0.2,0.6,0,0,1.2,0.1,0,0,-5.6
Jason Smith,WAS,32,1,1,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Chinanu Onuaku,HOU,21,1,1,0,3.2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,5.7,0,0,-3
Tim Frazier,WAS,27,2,1,1,3,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.5,0,0.5,0,1,4.4,0,0,-1.5
Emeka Okafor,NOP,35,1,1,0,3.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8
TJ Leaf,IND,21,1,1,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Jerryd Bayless,PHI,29,1,0,1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brandon Paul,SAS,27,1,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,5
Joe Young,IND,25,1,1,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Dakari Johnson,OKC,22,2,0,2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Luke Babbitt,MIA,28,2,0,2,1.7,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Marcus Georges-Hunt,MIN,24,2,0,2,1.4,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.6,0,0,-1.5
Richaun Holmes,PHI,24,3,1,2,3.6,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,1,0.9,0,0,-1.7
