name,team,age,gp,wins,losses,min,ortg,drtg,netrtg,astp,ato,orbp,drbp,toratio,efg,tsp,usg,pace,pie
Anthony Davis,NOP,25,9,5,4,39.8,105.3,104.9,0.4,6.9,0.65,5.6,7.2,26.8,17.4,8.5,53.4,58.4,30.1
Darius Miller,NOP,28,9,5,4,18,108.3,105.9,2.4,8.6,1.83,20.5,1.4,11.4,6.6,11.2,54.4,58.7,11.5
Raul Neto,UTA,26,8,3,5,9,104.7,102.5,2.2,17.9,2.5,25.5,2.9,12.1,7.4,10.2,34.8,41.7,16.8
Joel Embiid,PHI,24,8,4,4,34.8,105.6,99.9,5.7,14.7,0.83,11,9.2,29.1,19.5,13.3,46.4,51.9,29.7
Amir Johnson,PHI,31,8,4,4,11.7,115,108.5,6.5,13.6,3,25.6,14.1,12,13.2,8.5,52.4,56,11
Joe Johnson,HOU,36,8,5,3,6.7,84.9,118.2,-33.3,9.7,1,13,0,16.7,8.4,13,35.3,35.3,17.1
Justin Anderson,PHI,24,7,5,2,4.7,100.8,93.2,7.6,0,0,0,3.8,21.1,14.1,20,50,50,13.8
Trevor Booker,IND,30,7,3,4,9.1,109.6,106.8,2.8,0,0,0,9.4,27.7,18,7.1,60,68.8,11.1
Tony Snell,MIL,26,7,3,4,19.1,104,100.5,3.5,4,1.33,12.9,0.8,10.5,5.6,9.7,39.6,39.6,9.7
Jabari Parker,MIL,23,7,3,4,23.9,100.6,103.7,-3.1,9.8,1.67,11.9,5.8,21.3,14.3,7.2,50,51.7,20.9
Myles Turner,IND,22,7,3,4,28,104.2,95,9.2,3.4,0.36,5.2,3.9,16.4,10.7,14.2,66.7,69.8,17.6
Darren Collison,IND,30,7,3,4,30.6,102.2,99.5,2.7,24.1,3.67,28.6,0.6,10.1,5.6,7.8,51.5,53.9,17.7
Eric Bledsoe,MIL,28,7,3,4,32.1,112.8,104.7,8.1,17.3,1.73,19.4,1.7,11.2,6.8,11.2,48.2,51.2,23.9
Victor Oladipo,IND,26,7,3,4,37.2,107.9,100.2,7.6,26.6,1.75,19.9,1.5,23.5,13.3,11.4,50.8,54.8,30
Khris Middleton,MIL,26,7,3,4,39.3,111.3,107.7,3.6,13.8,1.38,13.9,0.5,15.4,8.2,10.1,71,71.9,24.3
Cory Joseph,IND,26,7,3,4,20.5,114.2,109.8,4.4,20.2,5.25,34.6,1.9,13.8,7.8,6.6,40.9,46.3,13.7
Cheick Diallo,NOP,21,7,4,3,6.9,87.6,110.7,-23.1,0,0,0,8.9,11.1,10,7.7,41.7,41.7,12.1
Bojan Bogdanovic,IND,29,7,3,4,34,107,103.2,3.8,8.2,1,11.7,0.5,11.5,6.2,11.7,50,50.9,19.4
Tyler Zeller,MIL,28,7,3,4,9.4,89.1,112.1,-23,7.5,3,27.9,3.4,17.9,11.1,9.3,80,81.4,6
Giannis Antetokounmpo,MIL,23,7,3,4,40,108.2,107.8,0.4,28.2,2.59,21.3,3.7,23.7,14.3,8.2,58.7,62,28.1
Lance Stephenson,IND,27,7,3,4,21.3,109.3,109.8,-0.5,21.3,2.22,20.4,2.5,13.8,8.1,9.2,52.3,52.9,24.9
Domantas Sabonis,IND,22,7,3,4,23.7,110.1,107.8,2.3,4.9,0.71,6.1,10.4,13.8,12.1,8.5,58.9,62.2,21.8
Aaron Jackson,HOU,32,7,5,2,2.4,91.9,114.6,-22.7,20,1,22.5,11.1,11.8,11.4,22.5,50,51.2,18.3
Tarik Black,HOU,26,7,5,2,2.7,92.5,131.6,-39.1,15.4,2,28.6,11.8,22.2,17.1,14.3,25,25,12
Malcolm Brogdon,MIL,25,7,3,4,26.6,105.5,111.2,-5.7,14.2,1.42,19.2,2.2,12.1,7.8,13.6,48.2,51.3,18.6
Thaddeus Young,IND,29,7,3,4,33.8,105.9,104.7,1.2,6.5,1.43,12.1,12.1,15.4,13.8,8.5,61.7,60.1,14.4
Ricky Rubio,UTA,27,6,4,2,30.1,104.1,95,9,36.5,2.33,28.2,2.8,22,12.4,12.1,41.8,47.1,25.3
Jerami Grant,OKC,24,6,2,4,22.1,106.6,97.7,8.9,6.7,1,11.6,6.3,9,7.6,11.6,54.3,54,15
Matthew Dellavedova,MIL,27,6,3,3,12.9,97.7,98.7,-1.1,28.6,2.67,45.9,1.5,5.6,3.6,17.2,41.7,46.6,11.3
Markieff Morris,WAS,28,6,2,4,30.2,104.8,112.8,-8,8.1,1.67,14.4,8.7,20.9,14.6,8.6,51,55.2,14.5
Fred VanVleet,TOR,24,6,2,4,19.1,122.9,118.3,4.5,15.7,3.25,21.8,0,10.9,5.3,6.7,43.6,48.2,19.3
Patrick Patterson,OKC,29,6,2,4,9.6,91.4,110.1,-18.7,8.1,1,25,1.8,18.5,10,25,66.7,66.7,7.1
Kelly Oubre Jr.,WAS,22,6,2,4,24.7,107,105.4,1.6,3.9,0.8,6.2,0.8,16.9,9.2,7.7,41.7,50.1,18
Russell Westbrook,OKC,29,6,2,4,39.2,96.9,105.1,-8.2,39.1,1.45,17.7,4.8,27.1,15.9,12.2,44.4,49.3,38.2
Raymond Felton,OKC,33,6,2,4,13.1,104.5,107.5,-3,20.5,1.8,19.6,2.6,13.4,8.1,10.9,50,48.6,20.7
Carmelo Anthony,OKC,33,6,2,4,32.3,95.5,109.7,-14.3,1.7,0.33,2.3,1.7,17.2,9.4,6.9,41.7,45.2,19.2
Corey Brewer,OKC,32,6,2,4,25.2,99.3,111.9,-12.6,4.7,2.5,14.4,3,6.6,4.8,5.8,62,66.9,8.6
Paul George,OKC,28,6,2,4,41.9,100.9,105.8,-4.9,11.1,0.67,9.1,1.7,13.4,7.6,13.6,48.8,54.5,28.2
Tomas Satoransky,WAS,26,6,2,4,10,96.6,103.8,-7.2,7,1,14.5,9.1,7.1,8.1,14.5,15.4,23.7,12.8
John Wall,WAS,27,6,2,4,39.1,107.9,111,-3.1,49.6,2.56,28.3,1.6,16.1,8.9,11.1,45.7,52.8,33.1
Ekpe Udoh,UTA,31,6,2,4,3.5,102.3,122.2,-19.8,0,0,0,4.3,10,7,26.6,100,36.2,7.3
Bradley Beal,WAS,24,6,2,4,35.9,102.8,114.4,-11.6,13.7,1.13,11.3,1.1,10.2,5.5,10,55.1,58.8,27.2
Alex Abrines,OKC,24,6,2,4,18.3,107.9,99.4,8.5,2.4,2,8.4,3.2,11.6,7.7,4.2,55,57.5,8.9
Norman Powell,TOR,25,6,3,3,6.7,114,116.4,-2.4,8.3,2,10.7,0,6.3,3.1,5.3,32.1,38.1,21.6
Thon Maker,MIL,21,6,3,3,21.6,115.1,98.9,16.3,5.2,1.25,12.5,6.2,15.9,11.3,10,50,53.1,13.2
Marcin Gortat,WAS,34,6,2,4,26.6,111.8,114.9,-3,5.2,1,10.3,10.4,20.3,15.3,10.3,55.8,56.4,14.5
Steven Adams,OKC,24,6,2,4,33.4,101.9,107,-5.2,6.9,2.25,13.9,10.3,13.3,11.8,6.2,58.7,60.9,12
Mike Scott,WAS,29,6,2,4,21,115.3,105.4,9.9,4.4,0.8,7.6,6.1,13.3,10,9.5,72,74.5,16.6
Ian Mahinmi,WAS,31,6,2,4,8.7,106.7,103.5,3.1,3.2,1,4.8,8.3,15.6,11.8,4.8,71.4,79.6,16.3
Patty Mills,SAS,29,5,1,4,33,100.2,111.8,-11.7,14.3,1.44,16,1.2,6.1,3.4,11.1,55.3,56.6,18.9
Lucas Nogueira,TOR,25,5,2,3,4.8,89.4,137.3,-48,6.3,0.33,17,0,6.7,2.9,51,0,26.6,10.2
Andrew Wiggins,MIN,23,5,1,4,32.8,102.1,117.5,-15.4,10.6,1.11,10.4,3.3,13.2,8.4,9.4,49.3,51.4,23.6
LaMarcus Aldridge,SAS,32,5,1,4,35.3,99.8,112.2,-12.4,13.3,1.33,10,7.4,24.3,14.7,7.5,48.1,59.9,27.7
Kyle Anderson,SAS,24,5,1,4,14.7,100.5,108.2,-7.7,6.7,1,10.8,8.1,11.8,10,10.8,60,62,16
Kelly Olynyk,MIA,27,5,1,4,29.2,108.7,109.3,-0.6,20.7,2.38,23.8,5.1,11.9,8.5,10,56.8,60.6,18.3
Karl-Anthony Towns,MIN,22,5,1,4,33.9,107.7,120.5,-12.8,9.9,0.92,11.8,10.7,34.4,23,12.9,49.2,54.2,21.9
Ante Zizic,CLE,21,5,2,3,3.5,87.2,74.3,12.9,10,0.5,7.9,0,26.3,12.8,15.8,28.6,36.3,30.3
Justise Winslow,MIA,22,5,1,4,25,106,107.4,-1.4,16.7,1.63,18.4,6.1,21.3,13.9,11.4,44,49.5,20
Josh Richardson,MIA,24,5,1,4,25.9,104.5,120,-15.5,15.6,2.8,22.6,3.2,9.2,6.1,8.1,45,48.7,16
Bam Adebayo,MIA,20,5,1,4,15.4,100.9,111.9,-11,0,0,0,11.8,14.9,13.3,8.6,46.7,40.2,13
Tony Parker,SAS,36,5,1,4,13.3,84.8,110.8,-26,18.8,1.5,12,0,6.9,3.3,8,37.8,41.2,30.2
Nemanja Bjelica,MIN,30,5,1,4,9.4,92.4,103.8,-11.4,11.1,3,13,7.3,20.4,13.8,4.3,56.3,60.3,18.3
Jeff Teague,MIN,29,5,1,4,30.6,105.4,120.2,-14.8,29.9,2.07,28.6,2.1,11.3,6.5,13.8,52,55.6,21.6
James Johnson,MIA,31,5,1,4,32.1,100.3,109.8,-9.6,23.3,2.4,29.2,2,18.4,10,12.2,63.1,64.4,15.7
Jamal Crawford,MIN,38,5,1,4,24.6,108.3,112.5,-4.2,14.8,2.4,17.2,0.9,10.3,5.8,7.2,52.1,56,21.2
