name,team,age,rafgm,rafma,rafgp,paintfgm,paintfga,paintfgp,mrfgm,mrfga,mrfgp,lcfgm,lcfga,lcfgp,rcfgm,rcfga,rcfgp,atbfgm,atbfga,atbfgp
Jonas Valanciunas,TOR,26,35,61,57.4,19,33,57.6,2,8,25,0,1,0,0,0,0,2,4,50
Jordan Bell,GSW,23,6,10,60,0,4,0,1,4,25,0,0,0,0,0,0,0,0,0
Jordan Clarkson,CLE,25,12,25,48,4,18,22.2,7,24,29.2,0,4,0,1,6,16.7,10,33,30.3
Jordan Crawford,NOP,29,1,1,100,3,3,100,1,1,100,0,1,0,0,0,0,3,7,42.9
Jose Calderon,CLE,36,2,4,50,0,0,0,1,1,100,0,2,0,1,2,50,3,13,23.1
Josh Huestis,OKC,26,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Richardson,MIA,24,3,8,37.5,1,4,25,5,9,55.6,0,0,0,0,1,0,6,18,33.3
Jrue Holiday,NOP,27,48,63,76.2,15,35,42.9,9,22,40.9,2,2,100,1,4,25,13,43,30.2
Justin Anderson,PHI,24,1,1,100,0,0,0,0,0,0,0,0,0,1,2,50,1,5,20
Justise Winslow,MIA,22,6,13,46.2,2,6,33.3,0,5,0,2,3,66.7,0,1,0,5,14,35.7
Jusuf Nurkic,POR,23,15,28,53.6,3,5,60,1,6,16.7,0,0,0,0,0,0,0,0,0
Karl-Anthony Towns,MIN,22,14,26,53.8,8,16,50,3,7,42.9,0,2,0,0,1,0,3,7,42.9
Kelly Olynyk,MIA,27,10,15,66.7,0,5,0,3,5,60,0,1,0,2,2,100,6,16,37.5
Kelly Oubre Jr.,WAS,22,11,17,64.7,2,4,50,1,8,12.5,1,1,100,0,2,0,3,16,18.8
Kevin Durant,GSW,29,32,48,66.7,27,58,46.6,75,137,54.7,2,4,50,1,2,50,35,110,31.8
Kevin Love,CLE,29,32,63,50.8,16,42,38.1,8,32,25,2,9,22.2,3,10,30,22,58,37.9
Kevon Looney,GSW,22,30,52,57.7,2,6,33.3,2,5,40,0,0,0,0,1,0,0,1,0
Khris Middleton,MIL,26,14,18,77.8,9,20,45,19,33,57.6,2,3,66.7,5,7,71.4,18,30,60
Klay Thompson,GSW,28,26,36,72.2,8,26,30.8,46,101,45.5,8,18,44.4,12,20,60,35,90,38.9
Kyle Anderson,SAS,24,8,9,88.9,3,6,50,1,1,100,0,2,0,0,1,0,0,0,0
Kyle Korver,CLE,37,6,6,100,0,1,0,9,22,40.9,7,12,58.3,3,13,23.1,33,71,46.5
Kyle Lowry,TOR,32,22,35,62.9,8,14,57.1,2,6,33.3,0,0,0,0,1,0,28,62,45.2
LaMarcus Aldridge,SAS,32,16,24,66.7,7,21,33.3,11,30,36.7,1,1,100,0,0,0,2,4,50
Lance Stephenson,IND,27,14,22,63.6,3,6,50,5,11,45.5,0,0,0,2,8,25,6,17,35.3
Larry Nance Jr.,CLE,25,27,30,90,1,3,33.3,4,8,50,0,1,0,0,0,0,0,0,0
LeBron James,CLE,33,120,158,75.9,19,53,35.8,54,111,48.6,1,5,20,1,3,33.3,31,87,35.6
Lorenzo Brown,TOR,27,1,2,50,0,1,0,0,2,0,0,0,0,1,1,100,1,4,25
Luc Mbah a Moute,HOU,31,6,19,31.6,0,1,0,0,1,0,0,2,0,0,3,0,3,10,30
Lucas Nogueira,TOR,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Babbitt,MIA,28,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,0,0,0
Malcolm Brogdon,MIL,25,10,15,66.7,5,13,38.5,4,9,44.4,1,3,33.3,1,5,20,3,10,30
Manu Ginobili,SAS,40,5,8,62.5,3,6,50,1,5,20,1,1,100,0,2,0,5,14,35.7
Marcin Gortat,WAS,34,14,21,66.7,8,16,50,2,6,33.3,0,0,0,0,0,0,0,0,0
Marco Belinelli,PHI,32,12,20,60,2,6,33.3,13,34,38.2,0,1,0,1,2,50,15,43,34.9
Marcus Georges-Hunt,MIN,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Morris,BOS,28,25,51,49,11,42,26.2,16,58,27.6,4,6,66.7,2,9,22.2,24,56,42.9
Marcus Smart,BOS,24,16,30,53.3,8,23,34.8,9,23,39.1,1,3,33.3,2,3,66.7,12,60,20
Markelle Fultz,PHI,20,0,2,0,1,3,33.3,0,2,0,-,-,-,0,0,0,0,0,0
Markieff Morris,WAS,28,10,15,66.7,6,7,85.7,6,15,40,2,3,66.7,0,2,0,0,7,0
