name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Myles Turner,IND,22,4,1,3,9,0,0,2,0,0,2,0,0,0,0,0,3,3,0,0,0,0,1,3.6,0,0,-15
PJ Tucker,HOU,33,4,4,0,13,0,0,1,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,8.4,0,0,8
Russell Westbrook,OKC,29,3,1,2,10,9,3,11,27.3,1,4,25,2,2,100,1,4,5,3,0,0,0,2,19.5,3,0,-2
Jerami Grant,OKC,24,3,1,2,8,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-6
Donovan Mitchell,UTA,21,3,2,1,10,12,4,9,44.4,0,4,0,4,4,100,0,2,2,2,0,0,0,1,17.4,0,0,2
Bradley Beal,WAS,24,3,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-7
E'Twaun Moore,NOP,29,3,2,1,8,0,0,1,0,0,0,0,0,2,0,2,0,2,1,0,0,0,1,3.9,0,0,12
John Wall,WAS,27,3,1,2,6,6,3,7,42.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7.5,1,0,-1
Damian Lillard,POR,27,3,0,3,11,4,1,4,25,0,0,0,2,2,100,0,1,1,2,1,1,0,1,10.2,0,0,-12
Eric Gordon,HOU,29,3,3,0,11,10,2,3,66.7,2,3,66.7,4,4,100,0,0,0,0,0,1,1,1,16,0,0,6
Al-Farouq Aminu,POR,27,3,0,3,11,2,1,1,100,0,0,0,0,0,0,1,1,2,0,0,0,0,1,4.4,1,0,-13
Ersan Ilyasova,PHI,31,3,1,2,11,4,2,4,50,0,2,0,0,0,0,1,2,3,0,0,0,0,0,7.6,1,0,-3
Fred VanVleet,TOR,24,3,1,2,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Paul George,OKC,28,3,1,2,10,5,2,7,28.6,1,4,25,0,0,0,0,0,0,0,0,0,1,0,8,1,0,-2
Kelly Oubre Jr.,WAS,22,3,1,2,5,1,0,0,0,0,0,0,1,2,50,0,1,1,1,0,0,0,0,3.7,0,0,2
CJ McCollum,POR,26,3,0,3,11,8,3,3,100,2,2,100,0,0,0,0,1,1,0,2,0,0,0,7.2,0,0,-12
Andre Iguodala,GSW,34,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Kevon Looney,GSW,22,3,1,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,-3
Stephen Curry,GSW,30,3,1,2,9,3,1,5,20,0,1,0,1,1,100,0,2,2,0,1,0,0,0,4.4,0,0,-3
Shaun Livingston,GSW,32,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
Carmelo Anthony,OKC,33,3,1,2,7,0,0,3,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,-4
Tristan Thompson,CLE,27,3,3,0,12,4,1,3,33.3,0,0,0,2,2,100,3,2,5,0,0,0,0,1,10,2,0,8
Jae Crowder,UTA,27,3,1,2,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.2,0,0,-8
DeMar DeRozan,TOR,28,3,1,2,16,6,3,12,25,0,3,0,0,0,0,2,6,8,3,0,0,2,1,26.1,0,0,-8
Serge Ibaka,TOR,28,3,0,3,17,3,0,1,0,0,1,0,3,3,100,1,2,3,0,1,0,0,3,5.6,0,0,-20
Malcolm Brogdon,MIL,25,3,2,1,13,10,4,7,57.1,2,3,66.7,0,0,0,1,1,2,0,0,0,0,3,12.4,0,0,1
Marcin Gortat,WAS,34,3,1,2,6,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,2.4,1,0,-1
Marco Belinelli,PHI,32,3,1,2,12,6,2,4,50,0,2,0,2,2,100,0,2,2,0,0,0,0,1,8.4,0,0,6
Nikola Mirotic,NOP,27,3,3,0,11,4,1,2,50,1,2,50,1,2,50,0,2,2,0,0,0,0,0,6.4,2,0,12
Delon Wright,TOR,26,3,2,1,6,5,2,2,100,1,1,100,0,0,0,0,0,0,1,0,0,0,0,6.5,0,0,1
Markieff Morris,WAS,28,3,1,2,6,4,2,2,100,0,0,0,0,0,0,0,1,1,0,0,1,1,0,11.2,1,0,1
Pat Connaughton,POR,25,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4
