name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Otto Porter Jr.,WAS ,24,5,4,100%,5,10,50,50,70.00%,5,7,71.4,30.00%,0,3,0
Jeff Teague,MIN ,29,4,4,100%,5,10,50,55,70.00%,4,7,57.1,30.00%,1,3,33.3
Malcolm Brogdon,MIL ,25,7,5,100%,2,10,20,25,40.00%,1,4,25,60.00%,1,6,16.7
Markieff Morris,WAS ,28,6,6,100%,7,9,77.8,83.3,77.80%,6,7,85.7,22.20%,1,2,50
T.J. McConnell,PHI ,26,9,6,100%,6,9,66.7,66.7,100%,6,9,66.7,0.00%,0,0,-
Thaddeus Young,IND ,29,7,6,100%,5,9,55.6,55.6,88.90%,5,8,62.5,11.10%,0,1,0
Greg Monroe,BOS ,27,7,4,100%,5,9,55.6,55.6,100%,5,9,55.6,0.00%,0,0,-
Derrick Favors,UTA ,26,11,7,100%,5,9,55.6,55.6,88.90%,5,8,62.5,11.10%,0,1,0
Pau Gasol,SAS ,37,5,5,100%,4,9,44.4,44.4,88.90%,4,8,50,11.10%,0,1,0
Steven Adams,OKC ,24,6,5,100%,4,9,44.4,44.4,100%,4,9,44.4,0.00%,0,0,-
Kelly Oubre Jr.,WAS ,22,6,5,100%,3,9,33.3,38.9,44.40%,2,4,50,55.60%,1,5,20
Bam Adebayo,MIA ,20,5,4,100%,3,9,33.3,33.3,100%,3,9,33.3,0.00%,0,0,-
Ian Mahinmi,WAS ,31,5,5,100%,7,8,87.5,87.5,100%,7,8,87.5,0.00%,0,0,-
Zach Collins,POR ,20,3,3,100%,4,8,50,56.3,62.50%,3,5,60,37.50%,1,3,33.3
Dante Exum,UTA ,22,8,4,100%,3,8,37.5,37.5,75.00%,3,6,50,25.00%,0,2,0
Evan Turner,POR ,29,3,3,100%,3,8,37.5,43.8,50.00%,2,4,50,50.00%,1,4,25
Raymond Felton,OKC ,33,6,6,100%,2,8,25,37.5,37.50%,0,3,0,62.50%,2,5,40
Danny Green,SAS ,30,5,4,100%,2,8,25,31.3,50.00%,1,4,25,50.00%,1,4,25
Tony Snell,MIL ,26,6,3,100%,2,8,25,37.5,0.00%,0,0,-,100%,2,8,25
Luc Mbah a Moute,HOU ,31,7,6,100%,2,8,25,25,62.50%,2,5,40,37.50%,0,3,0
Marcin Gortat,WAS ,34,5,3,100%,7,7,100,100,100%,7,7,100,0.00%,0,0,-
Jakob Poeltl,TOR ,22,8,5,100%,7,7,100,100,100%,7,7,100,0.00%,0,0,-
