name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
LeBron James,CLE ,33,18,18,100%,53,107,49.5,53.3,75.70%,45,81,55.6,24.30%,8,26,30.8
Kevin Durant,GSW ,29,17,17,100%,55,99,55.6,64.1,57.60%,38,57,66.7,42.40%,17,42,40.5
James Harden,HOU ,28,17,17,100%,44,99,44.4,52,48.50%,29,48,60.4,51.50%,15,51,29.4
Donovan Mitchell,UTA ,21,11,11,100%,38,70,54.3,62.9,65.70%,26,46,56.5,34.30%,12,24,50
Chris Paul,HOU ,33,15,15,100%,34,69,49.3,60.9,55.10%,18,38,47.4,44.90%,16,31,51.6
Jayson Tatum,BOS ,20,19,19,100%,38,67,56.7,61.9,70.10%,31,47,66,29.90%,7,20,35
Terry Rozier,BOS ,24,19,19,100%,28,67,41.8,50,44.80%,17,30,56.7,55.20%,11,37,29.7
Anthony Davis,NOP ,25,9,9,100%,34,61,55.7,57.4,85.20%,32,52,61.5,14.80%,2,9,22.2
Jaylen Brown,BOS ,21,17,17,100%,34,61,55.7,68,49.20%,19,30,63.3,50.80%,15,31,48.4
Klay Thompson,GSW ,28,17,17,100%,29,58,50,62.9,56.90%,14,33,42.4,43.10%,15,25,60
DeMar DeRozan,TOR ,28,10,10,100%,28,52,53.8,57.7,82.70%,24,43,55.8,17.30%,4,9,44.4
Kevin Love,CLE ,29,16,14,100%,25,52,48.1,56.7,55.80%,16,29,55.2,44.20%,9,23,39.1
Stephen Curry,GSW ,30,11,11,100%,33,51,64.7,83.3,37.30%,14,19,73.7,62.70%,19,32,59.4
Al Horford,BOS ,31,19,18,100%,27,46,58.7,62,82.60%,24,38,63.2,17.40%,3,8,37.5
Eric Gordon,HOU ,29,17,15,100%,16,46,34.8,43.5,39.10%,8,18,44.4,60.90%,8,28,28.6
Russell Westbrook,OKC ,29,6,6,100%,19,41,46.3,58.5,53.70%,9,22,40.9,46.30%,10,19,52.6
Jrue Holiday,NOP ,27,9,9,100%,18,40,45,47.5,67.50%,16,27,59.3,32.50%,2,13,15.4
JR Smith,CLE ,32,18,17,100%,13,39,33.3,46.2,17.90%,3,7,42.9,82.10%,10,32,31.3
Marcus Morris,BOS ,28,19,14,100%,17,38,44.7,55.3,63.20%,9,24,37.5,36.80%,8,14,57.1
Draymond Green,GSW ,28,17,16,100%,19,37,51.4,58.1,59.50%,14,22,63.6,40.50%,5,15,33.3
Victor Oladipo,IND ,26,7,7,100%,15,36,41.7,47.2,58.30%,11,21,52.4,41.70%,4,15,26.7
John Wall,WAS ,27,6,6,100%,20,35,57.1,58.6,82.90%,19,29,65.5,17.10%,1,6,16.7
Kyle Korver,CLE ,37,17,13,100%,14,34,41.2,58.8,20.60%,2,7,28.6,79.40%,12,27,44.4
Trevor Ariza,HOU ,32,17,15,100%,8,33,24.2,28.8,27.30%,5,9,55.6,72.70%,3,24,12.5
Paul George,OKC ,28,6,6,100%,16,32,50,57.8,56.30%,11,18,61.1,43.80%,5,14,35.7
Ben Simmons,PHI ,21,10,10,100%,20,31,64.5,64.5,100%,20,31,64.5,0.00%,0,0,-
PJ Tucker,HOU ,33,17,16,100%,14,31,45.2,58.1,22.60%,6,7,85.7,77.40%,8,24,33.3
E'Twaun Moore,NOP ,29,9,9,100%,12,31,38.7,41.9,74.20%,10,23,43.5,25.80%,2,8,25
Marcus Smart,BOS ,24,15,12,100%,10,31,32.3,40.3,41.90%,5,13,38.5,58.10%,5,18,27.8
George Hill,CLE ,32,15,14,100%,16,30,53.3,58.3,63.30%,13,19,68.4,36.70%,3,11,27.3
Joe Ingles,UTA ,30,11,10,100%,14,30,46.7,60,33.30%,6,10,60,66.70%,8,20,40
Giannis Antetokounmpo,MIL ,23,7,7,100%,17,29,58.6,60.3,89.70%,16,26,61.5,10.30%,1,3,33.3
Jonas Valanciunas,TOR ,26,10,10,100%,17,29,58.6,58.6,96.60%,17,28,60.7,3.40%,0,1,0
Joel Embiid,PHI ,24,8,8,100%,15,27,55.6,57.4,77.80%,14,21,66.7,22.20%,1,6,16.7
Jeff Green,CLE ,31,17,13,100%,8,27,29.6,37,33.30%,4,9,44.4,66.70%,4,18,22.2
Bradley Beal,WAS ,24,6,6,100%,15,26,57.7,75,46.20%,6,12,50,53.80%,9,14,64.3
Marco Belinelli,PHI ,32,9,9,100%,11,26,42.3,50,50.00%,7,13,53.8,50.00%,4,13,30.8
Nikola Mirotic,NOP ,27,9,8,100%,15,25,60,74,52.00%,8,13,61.5,48.00%,7,12,58.3
JJ Redick,PHI ,33,10,8,100%,14,25,56,66,52.00%,9,13,69.2,48.00%,5,12,41.7
Andrew Wiggins,MIN ,23,5,5,100%,12,25,48,54,60.00%,9,15,60,40.00%,3,10,30
Jae Crowder,UTA ,27,11,10,100%,6,25,24,28,36.00%,4,9,44.4,64.00%,2,16,12.5
Thaddeus Young,IND ,29,7,7,100%,15,24,62.5,64.6,87.50%,14,21,66.7,12.50%,1,3,33.3
Bojan Bogdanovic,IND ,29,7,7,100%,9,23,39.1,47.8,39.10%,5,9,55.6,60.90%,4,14,28.6
Clint Capela,HOU ,24,17,13,100%,18,22,81.8,81.8,100%,18,22,81.8,0.00%,0,0,-
Khris Middleton,MIL ,26,7,7,100%,14,22,63.6,72.7,72.70%,10,16,62.5,27.30%,4,6,66.7
Aron Baynes,BOS ,31,18,10,100%,12,22,54.5,70.5,54.50%,5,12,41.7,45.50%,7,10,70
Serge Ibaka,TOR ,28,10,8,100%,9,22,40.9,43.2,72.70%,8,16,50,27.30%,1,6,16.7
Kyle Lowry,TOR ,32,10,9,100%,13,21,61.9,78.6,42.90%,6,9,66.7,57.10%,7,12,58.3
Dario Saric,PHI ,24,10,9,100%,12,21,57.1,71.4,52.40%,6,11,54.5,47.60%,6,10,60
Goran Dragic,MIA ,32,5,5,100%,11,21,52.4,61.9,71.40%,7,15,46.7,28.60%,4,6,66.7
LaMarcus Aldridge,SAS ,32,5,5,100%,10,21,47.6,52.4,90.50%,8,19,42.1,9.50%,2,2,100
Eric Bledsoe,MIL ,28,7,7,100%,9,21,42.9,47.6,71.40%,7,15,46.7,28.60%,2,6,33.3
Rajon Rondo,NOP ,32,9,8,100%,8,21,38.1,38.1,81.00%,8,17,47.1,19.00%,0,4,0
Derrick Favors,UTA ,26,11,8,100%,15,20,75,77.5,95.00%,14,19,73.7,5.00%,1,1,100
Damian Lillard,POR ,27,4,4,100%,11,20,55,65,50.00%,7,10,70,50.00%,4,10,40
Shaun Livingston,GSW ,32,16,11,100%,6,20,30,30,95.00%,6,19,31.6,5.00%,0,1,0
CJ Miles,TOR ,31,10,7,100%,9,19,47.4,57.9,52.60%,5,10,50,47.40%,4,9,44.4
Ian Clark,NOP ,27,8,7,100%,8,19,42.1,50,63.20%,5,12,41.7,36.80%,3,7,42.9
Robert Covington,PHI ,27,10,7,100%,4,19,21.1,26.3,36.80%,2,7,28.6,63.20%,2,12,16.7
Ricky Rubio,UTA ,27,5,5,100%,6,18,33.3,44.4,50.00%,2,9,22.2,50.00%,4,9,44.4
Rudy Gay,SAS ,31,5,5,100%,3,18,16.7,16.7,61.10%,3,11,27.3,38.90%,0,7,0
Ersan Ilyasova,PHI ,31,10,9,100%,11,17,64.7,73.5,70.60%,8,12,66.7,29.40%,3,5,60
CJ McCollum,POR ,26,4,4,100%,10,17,58.8,67.6,70.60%,7,12,58.3,29.40%,3,5,60
Carmelo Anthony,OKC ,33,6,5,100%,8,17,47.1,52.9,52.90%,6,9,66.7,47.10%,2,8,25
Darren Collison,IND ,30,7,7,100%,7,17,41.2,50,58.80%,4,10,40,41.20%,3,7,42.9
Andre Iguodala,GSW ,34,13,8,100%,10,16,62.5,75,43.80%,6,7,85.7,56.30%,4,9,44.4
Kevon Looney,GSW ,22,17,12,100%,9,16,56.3,56.3,100%,9,16,56.3,0.00%,0,0,-
Gerald Green,HOU ,32,16,11,100%,8,16,50,65.6,25.00%,3,4,75,75.00%,5,12,41.7
Karl-Anthony Towns,MIN ,22,5,4,100%,8,15,53.3,56.7,80.00%,7,12,58.3,20.00%,1,3,33.3
Malcolm Brogdon,MIL ,25,7,6,100%,7,15,46.7,50,60.00%,6,9,66.7,40.00%,1,6,16.7
Myles Turner,IND ,22,7,7,100%,11,14,78.6,89.3,64.30%,8,9,88.9,35.70%,3,5,60
Patty Mills,SAS ,29,5,4,100%,7,14,50,67.9,21.40%,2,3,66.7,78.60%,5,11,45.5
Al-Farouq Aminu,POR ,27,4,3,100%,6,14,42.9,50,35.70%,4,5,80,64.30%,2,9,22.2
Jeff Teague,MIN ,29,5,5,100%,5,14,35.7,39.3,78.60%,4,11,36.4,21.40%,1,3,33.3
James Johnson,MIA ,31,5,5,100%,4,14,28.6,32.1,50.00%,3,7,42.9,50.00%,1,7,14.3
Rudy Gobert,UTA ,25,11,7,100%,10,13,76.9,76.9,100%,10,13,76.9,0.00%,0,0,-
T.J. McConnell,PHI ,26,7,6,100%,7,13,53.8,57.7,84.60%,6,11,54.5,15.40%,1,2,50
Jabari Parker,MIL ,23,7,6,100%,6,13,46.2,53.8,53.80%,4,7,57.1,46.20%,2,6,33.3
Manu Ginobili,SAS ,40,5,5,100%,6,13,46.2,46.2,69.20%,6,9,66.7,30.80%,0,4,0
Alec Burks,UTA ,26,6,5,100%,5,13,38.5,42.3,69.20%,4,9,44.4,30.80%,1,4,25
Jimmy Butler,MIN ,28,5,5,100%,4,13,30.8,42.3,53.80%,1,7,14.3,46.20%,3,6,50
Tristan Thompson,CLE ,27,12,7,100%,10,12,83.3,83.3,100%,10,12,83.3,0.00%,0,0,-
Otto Porter Jr.,WAS ,24,5,5,100%,9,12,75,91.7,58.30%,5,7,71.4,41.70%,4,5,80
