name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Klay Thompson,GSW ,28,73,71,100%,134,249,53.8,65.7,50.20%,75,125,60,49.80%,59,124,47.6
Gary Harris,DEN ,23,66,64,100%,133,248,53.6,61.7,58.50%,93,145,64.1,41.50%,40,103,38.8
Jusuf Nurkic,POR ,23,79,75,100%,138,244,56.6,56.6,100%,138,244,56.6,0.00%,0,0,-
Otto Porter Jr.,WAS ,24,75,75,100%,128,244,52.5,61.7,60.70%,83,148,56.1,39.30%,45,96,46.9
Brook Lopez,LAL ,30,72,70,100%,112,244,45.9,53.5,55.70%,75,136,55.1,44.30%,37,108,34.3
Andre Drummond,DET ,24,78,77,100%,132,242,54.5,54.5,97.50%,132,236,55.9,2.50%,0,6,0
Kentavious Caldwell-Pope,LAL ,25,70,65,100%,97,238,40.8,50.4,47.50%,51,113,45.1,52.50%,46,125,36.8
Joel Embiid,PHI ,24,61,60,100%,130,232,56,59.3,78.40%,115,182,63.2,21.60%,15,50,30
Jeff Teague,MIN ,29,70,68,100%,117,229,51.1,56.6,75.10%,92,172,53.5,24.90%,25,57,43.9
Justin Holiday,CHI ,29,69,67,100%,85,229,37.1,47.6,42.80%,37,98,37.8,57.20%,48,131,36.6
Ben Simmons,PHI ,21,80,78,100%,132,228,57.9,57.9,98.70%,132,225,58.7,1.30%,0,3,0
Dennis Smith Jr.,DAL ,20,69,66,100%,105,228,46.1,51.3,67.50%,81,154,52.6,32.50%,24,74,32.4
Tim Hardaway Jr.,NYK ,26,57,57,100%,103,228,45.2,54.2,49.60%,62,113,54.9,50.40%,41,115,35.7
Serge Ibaka,TOR ,28,75,72,100%,110,227,48.5,56.6,56.80%,73,129,56.6,43.20%,37,98,37.8
Allen Crabbe,BKN ,26,73,72,100%,98,227,43.2,56.8,34.80%,36,79,45.6,65.20%,62,148,41.9
Lauri Markkanen,CHI ,21,67,66,100%,110,226,48.7,56.4,57.50%,75,130,57.7,42.50%,35,96,36.5
Robert Covington,PHI ,27,79,72,100%,96,222,43.2,55,32.90%,44,73,60.3,67.10%,52,149,34.9
Bojan Bogdanovic,IND ,29,79,74,100%,113,221,51.1,63.1,45.20%,60,100,60,54.80%,53,121,43.8
Austin Rivers,LAC ,25,60,59,100%,95,221,43,52,52.50%,55,116,47.4,47.50%,40,105,38.1
Wesley Matthews,DAL ,31,63,61,100%,94,220,42.7,56.8,35.50%,32,78,41,64.50%,62,142,43.7
E'Twaun Moore,NOP ,29,81,77,100%,100,218,45.9,52.3,61.90%,72,135,53.3,38.10%,28,83,33.7
Jaylen Brown,BOS ,21,67,63,100%,101,217,46.5,54.1,57.60%,68,125,54.4,42.40%,33,92,35.9
Brandon Ingram,LAL ,20,58,56,100%,109,216,50.5,53.2,84.70%,97,183,53,15.30%,12,33,36.4
Dario Saric,PHI ,24,76,73,100%,107,213,50.2,61.5,50.70%,59,108,54.6,49.30%,48,105,45.7
Al Horford,BOS ,31,69,66,100%,107,213,50.2,56.8,70.40%,79,150,52.7,29.60%,28,63,44.4
Eric Gordon,HOU ,29,68,65,100%,99,213,46.5,59.4,29.60%,44,63,69.8,70.40%,55,150,36.7
DeMarre Carroll,BKN ,31,71,69,100%,93,211,44.1,54.7,45.50%,48,96,50,54.50%,45,115,39.1
Evan Fournier,ORL ,25,57,57,100%,104,210,49.5,59,52.90%,64,111,57.7,47.10%,40,99,40.4
Enes Kanter,NYK ,26,70,67,100%,136,208,65.4,65.4,100%,136,208,65.4,0.00%,0,0,-
Jimmy Butler,MIN ,28,59,58,100%,113,208,54.3,59.1,77.90%,93,162,57.4,22.10%,20,46,43.5
Ricky Rubio,UTA ,27,76,70,100%,90,208,43.3,47.8,64.40%,71,134,53,35.60%,19,74,25.7
Nicolas Batum,CHA ,29,63,60,100%,91,207,44,52.9,58.50%,54,121,44.6,41.50%,37,86,43
Kyle Kuzma,LAL ,22,73,65,100%,90,207,43.5,51.4,52.20%,57,108,52.8,47.80%,33,99,33.3
Thaddeus Young,IND ,29,80,77,100%,108,206,52.4,55.1,79.10%,97,163,59.5,20.90%,11,43,25.6
Josh Richardson,MIA ,24,80,74,100%,88,206,42.7,49,62.10%,62,128,48.4,37.90%,26,78,33.3
JJ Redick,PHI ,33,69,65,100%,94,205,45.9,56.8,48.30%,49,99,49.5,51.70%,45,106,42.5
Courtney Lee,NYK ,32,74,68,100%,93,203,45.8,53.4,65.00%,62,132,47,35.00%,31,71,43.7
Chris Paul,HOU ,33,58,56,100%,86,201,42.8,54,44.30%,41,89,46.1,55.70%,45,112,40.2
Kevin Love,CLE ,29,56,54,100%,107,200,53.5,63.8,51.50%,66,103,64.1,48.50%,41,97,42.3
Will Barton,DEN ,27,80,74,100%,97,200,48.5,58.8,49.50%,56,99,56.6,50.50%,41,101,40.6
Jonas Valanciunas,TOR ,26,76,67,100%,120,198,60.6,62.1,89.90%,114,178,64,10.10%,6,20,30
Jonathon Simmons,ORL ,28,68,60,100%,114,198,57.6,64.1,70.70%,88,140,62.9,29.30%,26,58,44.8
Markieff Morris,WAS ,28,71,69,100%,107,198,54,60.9,68.20%,80,135,59.3,31.80%,27,63,42.9
Spencer Dinwiddie,BKN ,25,78,69,100%,91,198,46,57.1,46.50%,47,92,51.1,53.50%,44,106,41.5
Bogdan Bogdanovic,SAC ,25,78,66,100%,85,198,42.9,51.5,54.50%,51,108,47.2,45.50%,34,90,37.8
Ish Smith,DET ,29,82,76,100%,98,197,49.7,50.8,87.80%,94,173,54.3,12.20%,4,24,16.7
Josh Jackson,PHX ,21,74,63,100%,82,197,41.6,45.4,74.60%,67,147,45.6,25.40%,15,50,30
Myles Turner,IND ,22,64,58,100%,92,196,46.9,50.3,75.50%,79,148,53.4,24.50%,13,48,27.1
Taj Gibson,MIN ,32,81,74,100%,108,194,55.7,55.9,95.40%,107,185,57.8,4.60%,1,9,11.1
Willie Cauley-Stein,SAC ,24,72,67,100%,96,194,49.5,49.7,98.50%,95,191,49.7,1.50%,1,3,33.3
Wilson Chandler,DEN ,31,73,67,100%,94,193,48.7,56.5,56.50%,64,109,58.7,43.50%,30,84,35.7
Kristaps Porzingis,NYK ,22,46,45,100%,87,193,45.1,51.3,68.40%,63,132,47.7,31.60%,24,61,39.3
Darren Collison,IND ,30,68,66,100%,111,192,57.8,66.9,64.10%,76,123,61.8,35.90%,35,69,50.7
Rodney Hood,CLE ,25,58,57,100%,88,187,47.1,57.2,53.50%,50,100,50,46.50%,38,87,43.7
Dillon Brooks,MEM ,22,82,69,100%,96,186,51.6,59.4,64.50%,67,120,55.8,35.50%,29,66,43.9
DeMarcus Cousins,NOP ,27,48,47,100%,91,186,48.9,57,53.80%,61,100,61,46.20%,30,86,34.9
John Wall,WAS ,27,41,41,100%,85,186,45.7,51.1,75.30%,65,140,46.4,24.70%,20,46,43.5
Joe Ingles,UTA ,30,82,73,100%,93,185,50.3,63.8,40.00%,43,74,58.1,60.00%,50,111,45
Tyler Johnson,MIA ,26,70,63,100%,89,184,48.4,58.4,55.40%,52,102,51,44.60%,37,82,45.1
Marvin Williams,CHA ,31,78,72,100%,87,184,47.3,59.2,43.50%,43,80,53.8,56.50%,44,104,42.3
Marco Belinelli,PHI ,32,77,74,100%,83,182,45.6,57.7,39.00%,39,71,54.9,61.00%,44,111,39.6
Elfrid Payton,PHX ,24,62,57,100%,99,181,54.7,57.2,84.50%,90,153,58.8,15.50%,9,28,32.1
Patty Mills,SAS ,29,80,72,100%,70,181,38.7,49.7,42.50%,30,77,39,57.50%,40,104,38.5
Jayson Tatum,BOS ,20,76,71,100%,87,180,48.3,55.6,62.80%,61,113,54,37.20%,26,67,38.8
Dirk Nowitzki,DAL ,39,77,68,100%,87,179,48.6,61.2,45.30%,42,81,51.9,54.70%,45,98,45.9
Robin Lopez,CHI ,30,57,57,100%,95,178,53.4,53.7,98.30%,94,175,53.7,1.70%,1,3,33.3
De'Aaron Fox,SAC ,20,69,63,100%,75,178,42.1,46.1,79.20%,61,141,43.3,20.80%,14,37,37.8
Jae Crowder,UTA ,27,79,74,100%,74,178,41.6,50.3,50.60%,43,90,47.8,49.40%,31,88,35.2
Marcin Gortat,WAS ,34,82,77,100%,115,177,65,65,100%,115,177,65,0.00%,0,0,-
Kris Dunn,CHI ,24,52,49,100%,75,176,42.6,46.6,75.60%,61,133,45.9,24.40%,14,43,32.6
Michael Kidd-Gilchrist,CHA ,24,71,69,100%,102,175,58.3,58.3,99.40%,102,174,58.6,0.60%,0,1,0
Derrick Favors,UTA ,26,76,67,100%,99,174,56.9,58.3,89.10%,94,155,60.6,10.90%,5,19,26.3
George Hill,CLE ,32,65,54,100%,88,173,50.9,60.4,56.60%,55,98,56.1,43.40%,33,75,44
Al-Farouq Aminu,POR ,27,69,64,100%,69,173,39.9,50.3,42.80%,33,74,44.6,57.20%,36,99,36.4
JR Smith,CLE ,32,78,69,100%,61,172,35.5,47.4,32.00%,20,55,36.4,68.00%,41,117,35
Michael Beasley,NYK ,29,65,55,100%,84,168,50,51.8,87.50%,78,147,53.1,12.50%,6,21,28.6
Tyreke Evans,MEM ,28,52,49,100%,77,168,45.8,54.8,60.10%,47,101,46.5,39.90%,30,67,44.8
Trevor Ariza,HOU ,32,66,62,100%,65,168,38.7,52.1,24.40%,20,41,48.8,75.60%,45,127,35.4
Avery Bradley,LAC ,27,46,45,100%,71,166,42.8,48.2,64.50%,53,107,49.5,35.50%,18,59,30.5
Stanley Johnson,DET ,21,65,55,100%,70,166,42.2,48.8,55.40%,48,92,52.2,44.60%,22,74,29.7
Rondae Hollis-Jefferson,BKN ,23,63,57,100%,91,163,55.8,57.4,89.60%,86,146,58.9,10.40%,5,17,29.4
Denzel Valentine,CHI ,24,77,66,100%,78,161,48.4,61.2,39.80%,37,64,57.8,60.20%,41,97,42.3
Draymond Green,GSW ,28,67,58,100%,83,159,52.2,58.8,60.40%,62,96,64.6,39.60%,21,63,33.3
James Johnson,MIA ,31,70,60,100%,79,158,50,55.1,63.90%,63,101,62.4,36.10%,16,57,28.1
Julius Randle,LAL ,23,76,62,100%,103,157,65.6,65.9,97.50%,102,153,66.7,2.50%,1,4,25
Jeremy Lamb,CHA ,25,78,61,100%,66,157,42,49,65.00%,44,102,43.1,35.00%,22,55,40
Steven Adams,OKC ,24,75,65,100%,107,156,68.6,68.6,99.40%,107,155,69,0.60%,0,1,0
Pau Gasol,SAS ,37,75,59,100%,80,155,51.6,55.5,79.40%,68,123,55.3,20.60%,12,32,37.5
Kent Bazemore,ATL ,28,63,59,100%,74,155,47.7,56.8,54.20%,46,84,54.8,45.80%,28,71,39.4
Hassan Whiteside,MIA ,28,54,50,100%,96,153,62.7,62.7,100%,96,153,62.7,0.00%,0,0,-
Lonzo Ball,LAL ,20,51,45,100%,66,153,43.1,52.3,45.10%,38,69,55.1,54.90%,28,84,33.3
D'Angelo Russell,BKN ,22,47,46,100%,70,151,46.4,51,66.20%,56,100,56,33.80%,14,51,27.5
Clint Capela,HOU ,24,74,65,100%,116,150,77.3,77.3,100%,116,150,77.3,0.00%,0,0,-
Buddy Hield,SAC ,24,69,58,100%,66,148,44.6,55.1,54.70%,35,81,43.2,45.30%,31,67,46.3
Terry Rozier,BOS ,24,75,61,100%,57,147,38.8,49,46.30%,27,68,39.7,53.70%,30,79,38
DeAndre Jordan,LAC ,29,76,64,100%,99,146,67.8,67.8,100%,99,146,67.8,0.00%,0,0,-
Nikola Mirotic,NOP ,27,54,50,100%,67,145,46.2,55.5,51.00%,40,74,54.1,49.00%,27,71,38
Ersan Ilyasova,PHI ,31,68,57,100%,58,145,40,45.2,57.20%,43,83,51.8,42.80%,15,62,24.2
Dejounte Murray,SAS ,21,71,61,100%,82,144,56.9,57.6,96.50%,80,139,57.6,3.50%,2,5,40
Yogi Ferrell,DAL ,25,75,63,100%,58,142,40.8,49.3,53.50%,34,76,44.7,46.50%,24,66,36.4
Danny Green,SAS ,30,66,58,100%,57,140,40.7,54.3,38.60%,19,54,35.2,61.40%,38,86,44.2
John Collins,ATL ,20,72,64,100%,86,139,61.9,63.7,90.60%,81,126,64.3,9.40%,5,13,38.5
Jordan Clarkson,CLE ,25,78,70,100%,68,139,48.9,57.2,59.00%,45,82,54.9,41.00%,23,57,40.4
Marcus Morris,BOS ,28,52,49,100%,65,139,46.8,54,60.40%,45,84,53.6,39.60%,20,55,36.4
Dewayne Dedmon,ATL ,28,60,56,100%,67,138,48.6,53.6,66.70%,53,92,57.6,33.30%,14,46,30.4
Troy Daniels,PHX ,26,69,52,100%,61,137,44.5,61.7,18.20%,14,25,56,81.80%,47,112,42
Bobby Portis,CHI ,23,73,55,100%,60,136,44.1,48.9,68.40%,47,93,50.5,31.60%,13,43,30.2
Marcus Smart,BOS ,24,51,47,100%,55,136,40.4,47.4,51.50%,36,70,51.4,48.50%,19,66,28.8
Reggie Bullock,DET ,27,54,54,100%,72,135,53.3,67.8,45.20%,33,61,54.1,54.80%,39,74,52.7
Tyler Ulis,PHX ,22,68,55,100%,55,135,40.7,43,77.80%,49,105,46.7,22.20%,6,30,20
Evan Turner,POR ,29,79,62,100%,59,132,44.7,50.4,72.70%,44,96,45.8,27.30%,15,36,41.7
Joe Harris,BKN ,26,77,63,100%,69,130,53.1,65.8,40.00%,36,52,69.2,60.00%,33,78,42.3
Rudy Gay,SAS ,31,56,52,100%,66,130,50.8,54.2,77.70%,57,101,56.4,22.30%,9,29,31
Caris LeVert,BKN ,23,69,59,100%,60,130,46.2,51.9,63.10%,45,82,54.9,36.90%,15,48,31.3
Garrett Temple,SAC ,32,62,50,100%,57,129,44.2,52.3,55.80%,36,72,50,44.20%,21,57,36.8
John Henson,MIL ,27,72,62,100%,89,127,70.1,70.1,100%,89,127,70.1,0.00%,0,0,-
J.J. Barea,DAL ,33,68,57,100%,50,127,39.4,48,44.90%,28,57,49.1,55.10%,22,70,31.4
Marquese Chriss,PHX ,20,70,57,100%,59,126,46.8,52.4,54.80%,45,69,65.2,45.20%,14,57,24.6
Bryn Forbes,SAS ,24,64,51,100%,51,123,41.5,50.8,56.10%,28,69,40.6,43.90%,23,54,42.6
Aron Baynes,BOS ,31,75,56,100%,62,122,50.8,50.8,93.40%,62,114,54.4,6.60%,0,8,0
Mario Hezonja,ORL ,23,59,49,100%,55,121,45.5,55,52.10%,32,63,50.8,47.90%,23,58,39.7
Andrew Harrison,MEM ,23,52,47,100%,52,121,43,47.5,69.40%,41,84,48.8,30.60%,11,37,29.7
Manu Ginobili,SAS ,40,59,52,100%,53,120,44.2,52.9,55.00%,32,66,48.5,45.00%,21,54,38.9
Justin Jackson,SAC ,23,56,51,100%,53,118,44.9,52.5,46.60%,35,55,63.6,53.40%,18,63,28.6
CJ Miles,TOR ,31,64,56,100%,43,117,36.8,51.3,23.10%,9,27,33.3,76.90%,34,90,37.8
Rajon Rondo,NOP ,32,61,54,100%,54,116,46.6,50.9,65.50%,44,76,57.9,34.50%,10,40,25
Dragan Bender,PHX ,20,78,57,100%,47,116,40.5,53.9,25.90%,16,30,53.3,74.10%,31,86,36
Jamal Crawford,MIN ,38,74,59,100%,46,116,39.7,45.7,62.90%,32,73,43.8,37.10%,14,43,32.6
Kyle Anderson,SAS ,24,73,53,100%,66,115,57.4,60.4,88.70%,59,102,57.8,11.30%,7,13,53.8
Dwyane Wade,MIA ,36,65,55,100%,46,115,40,43.5,74.80%,38,86,44.2,25.20%,8,29,27.6
Paul Millsap,DEN ,33,36,35,100%,57,114,50,53.5,76.30%,49,87,56.3,23.70%,8,27,29.6
Domantas Sabonis,IND ,22,74,57,100%,58,113,51.3,51.8,92.00%,57,104,54.8,8.00%,1,9,11.1
Wayne Ellington,MIA ,30,70,55,100%,42,113,37.2,50.9,15.00%,11,17,64.7,85.00%,31,96,32.3
D.J. Augustin,ORL ,30,68,45,100%,61,112,54.5,68.8,39.30%,29,44,65.9,60.70%,32,68,47.1
Jarell Martin,MEM ,24,68,53,100%,50,111,45,48.2,81.10%,43,90,47.8,18.90%,7,21,33.3
Reggie Jackson,DET ,28,45,42,100%,44,109,40.4,45,63.30%,34,69,49.3,36.70%,10,40,25
Kelly Oubre Jr.,WAS ,22,80,56,100%,41,109,37.6,48.6,37.60%,17,41,41.5,62.40%,24,68,35.3
Dion Waiters,MIA ,26,28,27,100%,39,109,35.8,41.7,52.30%,26,57,45.6,47.70%,13,52,25
Kelly Olynyk,MIA ,27,67,54,100%,58,108,53.7,64.8,48.10%,34,52,65.4,51.90%,24,56,42.9
PJ Tucker,HOU ,33,82,61,100%,45,107,42.1,54.7,27.10%,18,29,62.1,72.90%,27,78,34.6
JaMychal Green,MEM ,27,54,47,100%,56,106,52.8,60.8,68.90%,39,73,53.4,31.10%,17,33,51.5
Jeff Green,CLE ,31,69,51,100%,55,106,51.9,56.1,71.70%,46,76,60.5,28.30%,9,30,30
Jarrett Jack,NYK ,34,59,49,100%,40,103,38.8,42.2,81.60%,33,84,39.3,18.40%,7,19,36.8
T.J. McConnell,PHI ,26,71,52,100%,56,102,54.9,59.8,83.30%,46,85,54.1,16.70%,10,17,58.8
Justise Winslow,MIA ,22,66,53,100%,49,102,48,52,75.50%,41,77,53.2,24.50%,8,25,32
Ryan Anderson,HOU ,30,62,47,100%,48,102,47.1,61.3,27.50%,19,28,67.9,72.50%,29,74,39.2
Jerian Grant,CHI ,25,68,50,100%,47,102,46.1,51,67.60%,37,69,53.6,32.40%,10,33,30.3
Rudy Gobert,UTA ,25,55,47,100%,70,100,70,70,100%,70,100,70,0.00%,0,0,-
Mario Chalmers,MEM ,32,64,47,100%,32,100,32,35,59.00%,26,59,44.1,41.00%,6,41,14.6
OG Anunoby,TOR ,20,69,50,100%,47,99,47.5,57.1,44.40%,28,44,63.6,55.60%,19,55,34.5
Cory Joseph,IND ,26,81,58,100%,44,99,44.4,49,75.80%,35,75,46.7,24.20%,9,24,37.5
Joe Johnson,HOU ,36,55,43,100%,40,99,40.4,47.5,59.60%,26,59,44.1,40.40%,14,40,35
Larry Nance Jr.,CLE ,25,60,45,100%,65,98,66.3,66.8,95.90%,64,94,68.1,4.10%,1,4,25
Frank Kaminsky,CHA ,25,74,55,100%,42,98,42.9,50.5,53.10%,27,52,51.9,46.90%,15,46,32.6
Anthony Tolliver,DET ,32,68,53,100%,49,97,50.5,71.6,17.50%,8,17,47.1,82.50%,41,80,51.3
Devin Harris,DEN ,35,66,48,100%,37,97,38.1,47.9,39.20%,18,38,47.4,60.80%,19,59,32.2
Wesley Johnson,LAC ,30,65,44,100%,35,97,36.1,43.8,52.60%,20,51,39.2,47.40%,15,46,32.6
Frank Ntilikina,NYK ,19,69,54,100%,29,96,30.2,34.4,64.60%,21,62,33.9,35.40%,8,34,23.5
Mason Plumlee,DEN ,28,70,51,100%,71,95,74.7,74.7,100%,71,95,74.7,0.00%,0,0,-
Jarrett Allen,BKN ,20,64,47,100%,57,94,60.6,61.2,96.80%,56,91,61.5,3.20%,1,3,33.3
Darius Miller,NOP ,28,76,56,100%,36,94,38.3,50.5,26.60%,13,25,52,73.40%,23,69,33.3
Lance Stephenson,IND ,27,78,45,100%,35,94,37.2,42,53.20%,26,50,52,46.80%,9,44,20.5
Tony Parker,SAS ,36,55,41,100%,34,94,36.2,38.3,80.90%,30,76,39.5,19.10%,4,18,22.2
Zaza Pachulia,GSW ,34,64,51,100%,62,93,66.7,66.7,98.90%,62,92,67.4,1.10%,0,1,0
Malcolm Brogdon,MIL ,25,45,36,100%,55,93,59.1,68.8,62.40%,37,58,63.8,37.60%,18,35,51.4
Isaiah Thomas,LAL ,29,30,29,100%,45,92,48.9,57.1,55.40%,30,51,58.8,44.60%,15,41,36.6
Dante Cunningham,BKN ,31,65,43,100%,38,92,41.3,50,44.60%,22,41,53.7,55.40%,16,51,31.4
Doug McDermott,DAL ,26,65,45,100%,39,91,42.9,52.2,53.80%,22,49,44.9,46.20%,17,42,40.5
Trey Lyles,DEN ,22,52,39,100%,49,90,54.4,64.4,56.70%,31,51,60.8,43.30%,18,39,46.2
Nick Young,GSW ,32,68,46,100%,38,90,42.2,58.9,23.30%,8,21,38.1,76.70%,30,69,43.5
Tyler Zeller,MIL ,28,56,44,100%,59,89,66.3,68,91.00%,56,81,69.1,9.00%,3,8,37.5
Skal Labissiere,SAC ,22,49,43,100%,46,89,51.7,52.2,91.00%,45,81,55.6,9.00%,1,8,12.5
Tony Snell,MIL ,26,72,49,100%,43,89,48.3,64.6,27.00%,14,24,58.3,73.00%,29,65,44.6
Trey Burke,NYK ,25,24,24,100%,42,88,47.7,51.7,75.00%,35,66,53,25.00%,7,22,31.8
Emmanuel Mudiay,NYK ,22,50,42,100%,35,88,39.8,42,78.40%,31,69,44.9,21.60%,4,19,21.1
Quincy Acy,BKN ,27,60,46,100%,33,88,37.5,52.3,22.70%,7,20,35,77.30%,26,68,38.2
James Ennis III,DET ,27,64,44,100%,47,85,55.3,62.4,57.60%,35,49,71.4,42.40%,12,36,33.3
Tomas Satoransky,WAS ,26,66,45,100%,44,85,51.8,58.2,70.60%,33,60,55,29.40%,11,25,44
Zach LaVine,CHI ,23,24,24,100%,36,85,42.4,50.6,58.80%,22,50,44,41.20%,14,35,40
Alex Len,PHX ,24,65,41,100%,53,84,63.1,63.1,98.80%,53,83,63.9,1.20%,0,1,0
Maxi Kleber,DAL ,26,56,43,100%,38,83,45.8,50.6,53.00%,30,44,68.2,47.00%,8,39,20.5
Gerald Green,HOU ,32,38,30,100%,32,83,38.6,51.2,25.30%,11,21,52.4,74.70%,21,62,33.9
Luke Kennard,DET ,21,58,47,100%,30,83,36.1,45.2,56.60%,15,47,31.9,43.40%,15,36,41.7
Greg Monroe,BOS ,27,45,39,100%,56,82,68.3,68.3,100%,56,82,68.3,0.00%,0,0,-
Pascal Siakam,TOR ,24,72,46,100%,46,82,56.1,62.2,64.60%,36,53,67.9,35.40%,10,29,34.5
Lance Thomas,NYK ,30,63,42,100%,36,81,44.4,53.7,59.30%,21,48,43.8,40.70%,15,33,45.5
Ben McLemore,MEM ,25,47,37,100%,23,81,28.4,33.3,53.10%,15,43,34.9,46.90%,8,38,21.1
Milos Teodosic,LAC ,31,42,35,100%,29,80,36.3,46.3,38.80%,13,31,41.9,61.30%,16,49,32.7
David Nwaba,CHI ,25,61,37,100%,41,79,51.9,56.3,82.30%,34,65,52.3,17.70%,7,14,50
Davis Bertans,SAS ,25,41,32,100%,36,79,45.6,58.2,34.20%,16,27,59.3,65.80%,20,52,38.5
Dwight Powell,DAL ,26,65,40,100%,49,78,62.8,68.6,73.10%,40,57,70.2,26.90%,9,21,42.9
Josh Hart,LAL ,23,53,34,100%,47,78,60.3,71.8,50.00%,29,39,74.4,50.00%,18,39,46.2
Kosta Koufos,SAC ,29,61,42,100%,51,77,66.2,66.2,100%,51,77,66.2,0.00%,0,0,-
