name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
DeMar DeRozan,TOR ,28,80,80,100%,208,440,47.3,51.8,75.50%,168,332,50.6,24.50%,40,108,37
Damian Lillard,POR ,27,73,73,100%,187,422,44.3,52.4,57.10%,119,241,49.4,42.90%,68,181,37.6
Bradley Beal,WAS ,24,81,81,100%,215,415,51.8,60.7,61.70%,141,256,55.1,38.30%,74,159,46.5
Andrew Wiggins,MIN ,23,82,82,100%,185,415,44.6,48.8,72.50%,150,301,49.8,27.50%,35,114,30.7
Russell Westbrook,OKC ,29,78,78,100%,191,413,46.2,49,78.20%,168,323,52,21.80%,23,90,25.6
LeBron James,CLE ,33,81,79,100%,201,392,51.3,58.4,65.10%,145,255,56.9,34.90%,56,137,40.9
Victor Oladipo,IND ,26,74,74,100%,191,375,50.9,57.9,62.10%,139,233,59.7,37.90%,52,142,36.6
CJ McCollum,POR ,26,81,81,100%,182,374,48.7,55.9,66.60%,128,249,51.4,33.40%,54,125,43.2
James Harden,HOU ,28,72,71,100%,178,373,47.7,57.1,46.10%,108,172,62.8,53.90%,70,201,34.8
Paul George,OKC ,28,78,78,100%,151,371,40.7,48.2,53.90%,95,200,47.5,46.10%,56,171,32.7
Kemba Walker,CHA ,28,80,80,100%,143,361,39.6,47.2,54.80%,88,198,44.4,45.20%,55,163,33.7
Kevin Durant,GSW ,29,67,67,100%,175,360,48.6,56.4,58.90%,119,212,56.1,41.10%,56,148,37.8
Anthony Davis,NOP ,25,72,70,100%,185,354,52.3,55.4,83.30%,163,295,55.3,16.70%,22,59,37.3
Harrison Barnes,DAL ,25,77,77,100%,164,354,46.3,51.7,70.10%,126,248,50.8,29.90%,38,106,35.8
Tobias Harris,LAC ,25,80,80,100%,165,351,47,55.3,55.80%,107,196,54.6,44.20%,58,155,37.4
Jrue Holiday,NOP ,27,80,80,100%,172,347,49.6,54.5,65.10%,138,226,61.1,34.90%,34,121,28.1
LaMarcus Aldridge,SAS ,32,73,72,100%,182,345,52.8,53.2,93.30%,179,322,55.6,6.70%,3,23,13
Giannis Antetokounmpo,MIL ,23,73,72,100%,200,344,58.1,59.3,90.40%,192,311,61.7,9.60%,8,33,24.2
Donovan Mitchell,UTA ,21,79,74,100%,163,333,48.9,56.8,59.20%,111,197,56.3,40.80%,52,136,38.2
Khris Middleton,MIL ,26,81,80,100%,155,323,48,54.3,67.80%,114,219,52.1,32.20%,41,104,39.4
Carmelo Anthony,OKC ,33,75,75,100%,131,319,41.1,50.3,50.50%,72,161,44.7,49.50%,59,158,37.3
Lou Williams,LAC ,31,79,78,100%,134,290,46.2,54.1,58.30%,88,169,52.1,41.70%,46,121,38
Goran Dragic,MIA ,32,74,73,100%,124,288,43.1,47.9,69.40%,96,200,48,30.60%,28,88,31.8
Stephen Curry,GSW ,30,50,50,100%,162,287,56.4,72,40.10%,73,115,63.5,59.90%,89,172,51.7
Dennis Schroder,ATL ,24,66,65,100%,130,284,45.8,50.9,69.40%,101,197,51.3,30.60%,29,87,33.3
Jamal Murray,DEN ,21,80,79,100%,133,283,47,55.3,59.70%,86,169,50.9,40.30%,47,114,41.2
Kyle Lowry,TOR ,32,77,75,100%,113,280,40.4,52.5,35.40%,45,99,45.5,64.60%,68,181,37.6
TJ Warren,PHX ,24,64,63,100%,146,274,53.3,54.4,88.30%,140,242,57.9,11.70%,6,32,18.8
Devin Booker,PHX ,21,54,53,100%,122,271,45,52.6,61.60%,81,167,48.5,38.40%,41,104,39.4
Dwight Howard,CHA ,32,80,76,100%,163,269,60.6,60.6,100%,163,269,60.6,0.00%,0,0,-
Kyrie Irving,BOS ,26,55,55,100%,132,268,49.3,58.2,63.40%,84,170,49.4,36.60%,48,98,49
Marc Gasol,MEM ,33,73,71,100%,111,266,41.7,49.4,59.80%,70,159,44,40.20%,41,107,38.3
Nikola Jokic,DEN ,23,72,66,100%,145,265,54.7,62.8,62.60%,102,166,61.4,37.40%,43,99,43.4
Taurean Prince,ATL ,24,79,74,100%,107,264,40.5,49.8,49.60%,58,131,44.3,50.40%,49,133,36.8
Nikola Vucevic,ORL ,27,55,54,100%,130,263,49.4,54.2,71.50%,105,188,55.9,28.50%,25,75,33.3
Eric Bledsoe,MIL ,28,73,71,100%,129,260,49.6,57.3,59.20%,89,154,57.8,40.80%,40,106,37.7
Blake Griffin,DET ,29,57,57,100%,114,260,43.8,49,66.50%,87,173,50.3,33.50%,27,87,31
Karl-Anthony Towns,MIN ,22,81,77,100%,146,255,57.3,63.7,71.80%,113,183,61.7,28.20%,33,72,45.8
Zach Randolph,SAC ,36,59,58,100%,117,255,45.9,48.4,79.60%,104,203,51.2,20.40%,13,52,25
Aaron Gordon,ORL ,22,57,56,100%,118,251,47,54.6,59.40%,80,149,53.7,40.60%,38,102,37.3
