name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Russell Westbrook,OKC ,29,78,77,100%,184,377,48.8,51.6,79.30%,163,299,54.5,20.70%,21,78,26.9
Lou Williams,LAC ,31,79,79,100%,155,349,44.4,49.7,62.50%,118,218,54.1,37.50%,37,131,28.2
Anthony Davis,NOP ,25,73,73,100%,193,329,58.7,59.7,91.20%,186,300,62,8.80%,7,29,24.1
LaMarcus Aldridge,SAS ,32,75,75,100%,160,328,48.8,49.4,93.90%,156,308,50.6,6.10%,4,20,20
CJ McCollum,POR ,26,81,80,100%,147,325,45.2,51.1,66.80%,109,217,50.2,33.20%,38,108,35.2
LeBron James,CLE ,33,81,80,100%,194,324,59.9,64,76.20%,167,247,67.6,23.80%,27,77,35.1
Klay Thompson,GSW ,28,73,72,100%,152,321,47.4,55.6,60.10%,99,193,51.3,39.90%,53,128,41.4
Giannis Antetokounmpo,MIL ,23,74,73,100%,179,319,56.1,57.2,90.90%,172,290,59.3,9.10%,7,29,24.1
Karl-Anthony Towns,MIN ,22,82,79,100%,193,311,62.1,66.7,77.20%,164,240,68.3,22.80%,29,71,40.8
James Harden,HOU ,28,72,72,100%,153,311,49.2,58.4,48.90%,96,152,63.2,51.10%,57,159,35.8
Jordan Clarkson,CLE ,25,81,79,100%,153,306,50,55.7,68.30%,118,209,56.5,31.70%,35,97,36.1
Kemba Walker,CHA ,28,80,76,100%,152,285,53.3,62.6,56.10%,99,160,61.9,43.90%,53,125,42.4
Bradley Beal,WAS ,24,81,80,100%,152,285,53.3,58.6,70.50%,122,201,60.7,29.50%,30,84,35.7
Kevin Durant,GSW ,29,68,67,100%,155,280,55.4,61.4,70.40%,121,197,61.4,29.60%,34,83,41
Paul George,OKC ,28,78,76,100%,127,277,45.8,55.4,53.40%,74,148,50,46.60%,53,129,41.1
Kyle Kuzma,LAL ,22,76,75,100%,131,273,48,55.5,63.40%,90,173,52,36.60%,41,100,41
Buddy Hield,SAC ,24,78,76,100%,128,272,47.1,57.5,52.90%,71,144,49.3,47.10%,57,128,44.5
Donovan Mitchell,UTA ,21,78,77,100%,111,269,41.3,46.7,60.60%,82,163,50.3,39.40%,29,106,27.4
Eric Gordon,HOU ,29,69,68,100%,119,265,44.9,57.2,31.70%,54,84,64.3,68.30%,65,181,35.9
Dennis Schroder,ATL ,24,66,64,100%,134,258,51.9,55.2,77.50%,117,200,58.5,22.50%,17,58,29.3
Victor Oladipo,IND ,26,73,73,100%,137,256,53.5,58.6,74.20%,111,190,58.4,25.80%,26,66,39.4
Jamal Crawford,MIN ,38,80,79,100%,109,253,43.1,49.8,57.30%,75,145,51.7,42.70%,34,108,31.5
TJ Warren,PHX ,24,64,60,100%,133,251,53,54.2,92.00%,127,231,55,8.00%,6,20,30
Bobby Portis,CHI ,23,73,68,100%,129,247,52.2,56.7,72.10%,107,178,60.1,27.90%,22,69,31.9
DeMar DeRozan,TOR ,28,80,75,100%,122,247,49.4,52.2,83.00%,108,205,52.7,17.00%,14,42,33.3
Jrue Holiday,NOP ,27,80,76,100%,140,246,56.9,62,70.70%,115,174,66.1,29.30%,25,72,34.7
Carmelo Anthony,OKC ,33,75,70,100%,110,246,44.7,51.8,62.20%,75,153,49,37.80%,35,93,37.6
Will Barton,DEN ,27,80,77,100%,121,245,49.4,55.9,63.70%,89,156,57.1,36.30%,32,89,36
Frank Kaminsky,CHA ,25,79,77,100%,119,245,48.6,57.3,63.70%,76,156,48.7,36.30%,43,89,48.3
Dennis Smith Jr.,DAL ,20,69,68,100%,96,245,39.2,44.3,64.10%,71,157,45.2,35.90%,25,88,28.4
Lance Stephenson,IND ,27,81,78,100%,104,239,43.5,47.9,70.30%,83,168,49.4,29.70%,21,71,29.6
Jeremy Lamb,CHA ,25,80,77,100%,114,237,48.1,53.2,72.60%,90,172,52.3,27.40%,24,65,36.9
Ben Simmons,PHI ,21,80,77,100%,125,236,53,53,97.50%,125,230,54.3,2.50%,0,6,0
Harrison Barnes,DAL ,25,77,75,100%,106,236,44.9,50.2,73.70%,81,174,46.6,26.30%,25,62,40.3
Nikola Jokic,DEN ,23,74,67,100%,126,235,53.6,59.1,72.80%,100,171,58.5,27.20%,26,64,40.6
Goran Dragic,MIA ,32,74,73,100%,115,232,49.6,55.4,72.40%,88,168,52.4,27.60%,27,64,42.2
Kelly Oubre Jr.,WAS ,22,80,76,100%,99,231,42.9,50.2,55.00%,65,127,51.2,45.00%,34,104,32.7
Devin Booker,PHX ,21,54,54,100%,110,228,48.2,55.3,62.30%,78,142,54.9,37.70%,32,86,37.2
Joel Embiid,PHI ,24,61,59,100%,115,227,50.7,52.2,85.00%,108,193,56,15.00%,7,34,20.6
Damian Lillard,POR ,27,73,71,100%,116,225,51.6,60.9,52.00%,74,117,63.2,48.00%,42,108,38.9
Eric Bledsoe,MIL ,28,73,68,100%,112,225,49.8,55.6,63.60%,86,143,60.1,36.40%,26,82,31.7
