name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Kevon Looney,GSW,22,11,7,4,23,9,3,3,100,0,0,0,3,5,60,0,5,5,1,0,0,0,1,16.5,0,0,3
Patrick McCaw,GSW,22,11,8,3,23,2,1,2,50,0,0,0,0,0,0,0,1,1,3,0,0,0,3,7.7,0,0,-5
Jodie Meeks,WAS,30,11,4,7,21,9,2,8,25,2,6,33.3,3,3,100,0,1,1,0,1,0,0,8,9.2,0,0,-24
Daniel Theis,BOS,26,10,5,5,21,3,1,1,100,1,1,100,0,2,0,1,2,3,0,0,0,1,2,9.6,0,0,-4
DeAndre Liggins,NOP,30,10,7,3,16,2,1,2,50,0,1,0,0,0,0,0,4,4,1,1,1,1,1,13.3,0,0,3
Royce O'Neale,UTA,24,10,7,3,15,4,1,2,50,0,0,0,2,2,100,0,1,1,1,0,1,0,1,9.7,1,0,10
Kyle O'Quinn,NYK,28,10,2,8,35,8,3,6,50,0,0,0,2,2,100,3,5,8,1,2,3,4,5,38.1,4,0,-6
Nerlens Noel,DAL,24,10,1,9,23,4,2,4,50,0,0,0,0,0,0,3,2,5,1,0,2,1,7,20.5,2,0,-24
David West,GSW,37,10,8,2,12,0,0,1,0,0,0,0,0,0,0,1,2,3,0,1,1,1,2,8.6,0,0,-2
Tyrone Wallace,LAC,23,10,7,3,14,2,1,2,50,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,0,-11
Aron Baynes,BOS,31,10,6,4,18,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2.4,0,0,-2
Cedi Osman,CLE,23,9,7,2,12,5,1,4,25,0,3,0,3,4,75,1,0,1,0,0,2,0,2,12.2,0,0,-1
Khem Birch,ORL,25,9,5,4,18,10,2,2,100,0,0,0,6,8,75,0,2,2,1,1,0,0,2,12.9,1,0,-3
Richaun Holmes,PHI,24,9,4,5,29,16,5,8,62.5,0,2,0,6,8,75,1,5,6,0,1,1,0,5,25.2,1,0,-5
Zach LaVine,CHI,23,9,5,4,33,27,6,22,27.3,2,7,28.6,13,17,76.5,1,5,6,5,2,2,0,3,45.7,0,0,10
Jabari Parker,MIL,23,9,4,5,21,0,0,5,0,0,2,0,0,0,0,1,2,3,1,1,1,0,2,7.1,3,0,-18
DeAndre' Bembry,ATL,23,9,5,4,12,3,1,1,100,1,1,100,0,0,0,0,1,1,0,3,1,0,5,4.2,0,0,-6
Ben McLemore,MEM,25,9,1,8,24,2,1,3,33.3,0,2,0,0,0,0,0,3,3,2,0,0,0,5,8.6,0,0,-28
Mike James,NOP,27,9,4,5,27,14,5,12,41.7,1,5,20,3,5,60,0,1,1,4,2,1,0,3,22.2,0,0,8
Thabo Sefolosha,UTA,34,9,5,4,25,7,2,4,50,1,2,50,2,2,100,0,5,5,0,0,1,0,4,16,1,0,2
Deyonta Davis,MEM,21,8,0,8,11,0,0,0,0,0,0,0,0,2,0,0,3,3,1,0,0,1,1,8.1,0,0,-19
Michael Carter-Williams,CHA,26,8,3,5,8,4,0,2,0,0,0,0,4,4,100,1,3,4,0,0,0,0,3,8.8,0,0,-9
Jonathan Isaac,ORL,20,8,3,5,11,3,1,1,100,1,1,100,0,0,0,0,1,1,1,0,0,1,0,8.7,0,0,-18
Dwayne Bacon,CHA,22,8,5,3,21,2,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,24
Montrezl Harrell,LAC,24,8,4,4,29,15,5,8,62.5,0,1,0,5,9,55.6,4,3,7,1,0,0,1,3,27.9,0,0,3
Chandler Parsons,MEM,29,8,3,5,15,4,2,5,40,0,2,0,0,0,0,1,2,3,2,2,0,0,1,8.6,0,0,2
Timothe Luwawu-Cabarrot,PHI,23,8,3,5,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,-6
Thon Maker,MIL,21,8,6,2,20,4,2,2,100,0,0,0,0,0,0,0,8,8,0,0,1,1,2,19.6,0,0,23
Noah Vonleh,CHI,22,8,7,1,23,3,1,1,100,0,0,0,1,2,50,0,3,3,0,0,0,0,1,6.6,1,0,6
Isaiah Canaan,PHX,27,8,6,2,15,9,1,4,25,0,1,0,7,7,100,1,2,3,3,1,2,0,1,22.1,0,0,9
Arron Afflalo,ORL,32,8,4,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,-1,0,0,-3
Damion Lee,ATL,25,8,4,4,21,3,1,4,25,0,0,0,1,2,50,0,4,4,2,1,1,0,3,12.8,0,0,6
Malik Monk,CHA,20,8,1,7,12,3,1,7,14.3,0,6,0,1,1,100,0,1,1,0,0,0,1,2,7.2,0,0,-12
Danilo Gallinari,LAC,29,8,4,4,21,9,2,6,33.3,1,4,25,4,4,100,1,3,4,0,1,0,0,1,12.8,0,0,1
Paul Zipser,CHI,24,8,3,5,14,4,1,2,50,0,0,0,2,2,100,0,2,2,1,0,0,0,2,7.9,0,0,-16
Tony Allen,NOP,36,7,5,2,11,2,1,2,50,0,0,0,0,0,0,0,5,5,0,1,0,0,1,7,0,0,5
Luke Babbitt,MIA,28,7,1,6,8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1.2,0,0,-7
Gerald Green,HOU,32,7,7,0,17,10,3,4,75,2,3,66.7,2,2,100,0,2,2,0,0,0,1,2,15.4,0,0,15
Terrence Ross,ORL,27,7,3,4,16,4,1,5,20,1,3,33.3,1,2,50,1,2,3,1,3,1,0,2,9.1,0,0,-6
Cristiano Felicio,CHI,25,7,4,3,15,7,2,3,66.7,0,0,0,3,4,75,1,4,5,0,0,1,0,1,16,1,0,3
Shaquille Harrison,PHX,24,7,2,5,5,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,5.4,0,0,-1
Emmanuel Mudiay,NYK,22,7,5,2,11,2,1,6,16.7,0,0,0,0,0,0,0,0,0,2,0,1,0,1,8,0,0,-3
Kobi Simmons,MEM,20,7,2,5,17,9,4,5,80,0,0,0,1,1,100,1,2,3,2,0,0,0,4,15.6,0,0,-5
Channing Frye,LAL,35,7,6,1,16,9,4,10,40,1,7,14.3,0,0,0,0,1,1,0,0,0,1,3,13.2,0,0,10
Kyle Collinsworth,DAL,26,7,2,5,15,7,3,3,100,0,0,0,1,1,100,1,0,1,1,1,1,2,3,17.7,0,0,-10
Matthew Dellavedova,MIL,27,6,4,2,28,10,3,3,100,2,2,100,2,2,100,0,2,2,3,2,0,0,4,14.9,0,0,9
Patrick Patterson,OKC,29,6,3,3,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,-5
Omri Casspi,GSW,29,6,3,3,14,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,2,2,10.8,1,0,6
Jawun Evans,LAC,21,6,4,2,11,2,0,1,0,0,0,0,2,3,66.7,1,0,1,0,1,1,0,1,5.2,0,0,-3
Quinn Cook,GSW,25,6,3,3,15,6,2,4,50,0,0,0,2,2,100,1,0,1,1,0,0,0,3,8.7,0,0,-8
OG Anunoby,TOR,20,6,3,3,31,3,0,2,0,0,2,0,3,4,75,0,1,1,0,1,0,0,2,3.2,0,0,8
Alex Caruso,LAL,24,6,3,3,14,0,0,3,0,0,1,0,0,0,0,1,0,1,1,3,0,1,1,2.7,0,0,-8
JaKarr Sampson,SAC,25,6,1,5,14,2,1,4,25,0,0,0,0,0,0,2,1,3,1,0,1,1,3,13.1,0,0,-9
Josh Huestis,OKC,26,6,3,3,11,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,3,1.4,0,0,-12
Gorgui Dieng,MIN,28,6,3,3,11,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,1,6.3,0,0,-19
Sean Kilpatrick,CHI,28,6,3,3,9,12,4,9,44.4,3,4,75,1,2,50,0,2,2,1,0,0,0,0,15.9,0,0,-1
Wes Iwundu,ORL,23,6,2,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0
Mike Conley,MEM,30,6,3,3,20,19,4,11,36.4,3,8,37.5,8,10,80,0,2,2,1,1,2,0,5,27.9,0,0,-11
Jordan Bell,GSW,23,6,6,0,12,6,3,4,75,0,1,0,0,0,0,1,4,5,2,2,0,1,5,16,1,0,8
Treveon Graham,CHA,24,6,4,2,6,5,1,1,100,1,1,100,2,3,66.7,0,1,1,0,0,0,0,1,6.2,0,0,3
Dorian Finney-Smith,DAL,25,5,0,5,21,0,0,5,0,0,3,0,0,0,0,1,2,3,5,0,0,0,0,11.1,1,0,-22
Jalen Jones,DAL,25,5,1,4,15,3,1,5,20,1,5,20,0,0,0,1,1,2,0,1,0,0,1,4.4,0,0,-11
Brandan Wright,HOU,30,5,1,4,11,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,1,1,3,9.6,0,0,-9
Tarik Black,HOU,26,5,3,2,12,4,2,3,66.7,0,0,0,0,2,0,2,5,7,0,0,0,2,3,18.4,0,0,10
