name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
De'Aaron Fox,SAC ,20,73,73,100%,90,203,44.3,47.8,74.40%,76,151,50.3,25.60%,14,52,26.9
Jae Crowder,UTA ,27,80,76,100%,81,202,40.1,48.5,45.50%,47,92,51.1,54.50%,34,110,30.9
Kyle Kuzma,LAL ,22,76,65,100%,98,201,48.8,56.2,57.20%,68,115,59.1,42.80%,30,86,34.9
Al Horford,BOS ,31,69,68,100%,99,198,50,55.6,76.30%,77,151,51,23.70%,22,47,46.8
Hassan Whiteside,MIA ,28,54,52,100%,110,196,56.1,56.4,99.50%,109,195,55.9,0.50%,1,1,100
Marco Belinelli,PHI ,32,79,75,100%,91,196,46.4,54.6,56.10%,59,110,53.6,43.90%,32,86,37.2
Dirk Nowitzki,DAL ,39,77,74,100%,86,196,43.9,51,58.70%,58,115,50.4,41.30%,28,81,34.6
Jayson Tatum,BOS ,20,77,72,100%,102,195,52.3,59.7,70.80%,73,138,52.9,29.20%,29,57,50.9
Trevor Ariza,HOU ,32,67,62,100%,97,195,49.7,63.6,32.30%,43,63,68.3,67.70%,54,132,40.9
Willie Cauley-Stein,SAC ,24,73,66,100%,108,193,56,56,99.50%,108,192,56.3,0.50%,0,1,0
Elfrid Payton,PHX ,24,63,60,100%,101,188,53.7,55.9,86.20%,93,162,57.4,13.80%,8,26,30.8
Avery Bradley,LAC ,27,46,45,100%,86,188,45.7,51.6,67.60%,64,127,50.4,32.40%,22,61,36.1
JR Smith,CLE ,32,80,72,100%,85,184,46.2,59.8,34.80%,35,64,54.7,65.20%,50,120,41.7
Kris Dunn,CHI ,24,52,51,100%,85,182,46.7,49.7,84.60%,74,154,48.1,15.40%,11,28,39.3
Darren Collison,IND ,30,68,65,100%,93,180,51.7,60.6,65.60%,61,118,51.7,34.40%,32,62,51.6
Clint Capela,HOU ,24,74,66,100%,120,179,67,67,100%,120,179,67,0.00%,0,0,-
Wesley Matthews,DAL ,31,63,59,100%,80,179,44.7,55.3,44.70%,42,80,52.5,55.30%,38,99,38.4
