name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Lou Williams,LAC ,31,76,76,100%,200,383,52.2,61.4,54.80%,130,210,61.9,45.20%,70,173,40.5
Russell Westbrook,OKC ,29,71,68,100%,177,363,48.8,54.3,70.00%,137,254,53.9,30.00%,40,109,36.7
CJ McCollum,POR ,26,80,75,100%,168,358,46.9,52.4,69.60%,129,249,51.8,30.40%,39,109,35.8
LeBron James,CLE ,33,71,70,100%,192,353,54.4,59.5,67.70%,156,239,65.3,32.30%,36,114,31.6
Donovan Mitchell,UTA ,21,74,71,100%,169,344,49.1,56.4,57.80%,119,199,59.8,42.20%,50,145,34.5
Bradley Beal,WAS ,24,70,69,100%,125,315,39.7,46.7,57.50%,81,181,44.8,42.50%,44,134,32.8
Kemba Walker,CHA ,28,70,67,100%,135,301,44.9,53.5,51.50%,83,155,53.5,48.50%,52,146,35.6
Buddy Hield,SAC ,24,74,71,100%,138,298,46.3,56,52.70%,80,157,51,47.30%,58,141,41.1
Damian Lillard,POR ,27,69,67,100%,144,294,49,56.1,56.80%,102,167,61.1,43.20%,42,127,33.1
Giannis Antetokounmpo,MIL ,23,69,67,100%,161,287,56.1,58,87.10%,150,250,60,12.90%,11,37,29.7
Victor Oladipo,IND ,26,67,66,100%,140,287,48.8,55.2,57.80%,103,166,62,42.20%,37,121,30.6
James Harden,HOU ,28,64,63,100%,118,280,42.1,52.5,44.60%,60,125,48,55.40%,58,155,37.4
Kyle Kuzma,LAL ,22,72,70,100%,138,279,49.5,58.4,51.60%,88,144,61.1,48.40%,50,135,37
Jordan Clarkson,CLE ,25,78,76,100%,134,276,48.6,56.2,60.90%,92,168,54.8,39.10%,42,108,38.9
Khris Middleton,MIL ,26,77,75,100%,131,276,47.5,54,59.80%,95,165,57.6,40.20%,36,111,32.4
Anthony Davis,NOP ,25,65,63,100%,145,275,52.7,54.7,86.50%,134,238,56.3,13.50%,11,37,29.7
Klay Thompson,GSW ,28,70,69,100%,133,275,48.4,58.5,52.70%,77,145,53.1,47.30%,56,130,43.1
Karl-Anthony Towns,MIN ,22,80,78,100%,148,257,57.6,64,70.00%,115,180,63.9,30.00%,33,77,42.9
Jeremy Lamb,CHA ,25,77,75,100%,126,251,50.2,55,70.10%,102,176,58,29.90%,24,75,32
Jimmy Butler,MIN ,28,56,55,100%,109,251,43.4,47,74.50%,91,187,48.7,25.50%,18,64,28.1
LaMarcus Aldridge,SAS ,32,63,62,100%,130,248,52.4,52.6,96.40%,129,239,54,3.60%,1,9,11.1
Paul George,OKC ,28,74,70,100%,103,244,42.2,52.7,45.50%,52,111,46.8,54.50%,51,133,38.3
Jrue Holiday,NOP ,27,73,68,100%,126,241,52.3,57.7,71.40%,100,172,58.1,28.60%,26,69,37.7
Will Barton,DEN ,27,77,72,100%,102,241,42.3,47.7,59.30%,76,143,53.1,40.70%,26,98,26.5
Kelly Oubre Jr.,WAS ,22,80,73,100%,111,239,46.4,54.8,49.80%,71,119,59.7,50.20%,40,120,33.3
Jamal Crawford,MIN ,38,78,73,100%,98,236,41.5,49.8,55.10%,59,130,45.4,44.90%,39,106,36.8
Bobby Portis,CHI ,23,69,64,100%,121,230,52.6,58.3,71.70%,95,165,57.6,28.30%,26,65,40
DeMar DeRozan,TOR ,28,59,57,100%,113,229,49.3,51.1,84.70%,105,194,54.1,15.30%,8,35,22.9
Devin Booker,PHX ,21,50,50,100%,97,226,42.9,49.3,61.50%,68,139,48.9,38.50%,29,87,33.3
Lance Stephenson,IND ,27,80,68,100%,113,225,50.2,54.9,69.80%,92,157,58.6,30.20%,21,68,30.9
Fred VanVleet,TOR ,24,74,72,100%,95,222,42.8,53.4,45.50%,48,101,47.5,54.50%,47,121,38.8
Joel Embiid,PHI ,24,57,54,100%,110,220,50,53.4,76.80%,95,169,56.2,23.20%,15,51,29.4
Eric Gordon,HOU ,29,68,64,100%,98,220,44.5,57.7,32.30%,40,71,56.3,67.70%,58,149,38.9
Tyreke Evans,MEM ,28,50,48,100%,96,220,43.6,50.2,59.10%,67,130,51.5,40.90%,29,90,32.2
Jamal Murray,DEN ,21,68,61,100%,106,219,48.4,54.8,59.80%,78,131,59.5,40.20%,28,88,31.8
Wayne Ellington,MIA ,30,72,68,100%,92,219,42,59.6,15.10%,15,33,45.5,84.90%,77,186,41.4
Spencer Dinwiddie,BKN ,25,71,64,100%,85,218,39,45.4,53.20%,57,116,49.1,46.80%,28,102,27.5
Eric Bledsoe,MIL ,28,65,61,100%,109,217,50.2,56.2,60.80%,83,132,62.9,39.20%,26,85,30.6
Yogi Ferrell,DAL ,25,80,73,100%,106,217,48.8,62.9,41.90%,45,91,49.5,58.10%,61,126,48.4
Kyrie Irving,BOS ,26,49,48,100%,105,217,48.4,53.9,61.80%,81,134,60.4,38.20%,24,83,28.9
Josh Richardson,MIA ,24,74,70,100%,103,217,47.5,53.2,64.50%,78,140,55.7,35.50%,25,77,32.5
TJ Warren,PHX ,24,60,58,100%,116,215,54,55.1,90.20%,111,194,57.2,9.80%,5,21,23.8
Michael Beasley,NYK ,29,59,54,100%,106,210,50.5,53.1,88.60%,95,186,51.1,11.40%,11,24,45.8
Josh Jackson,PHX ,21,70,63,100%,97,208,46.6,49.5,74.00%,85,154,55.2,26.00%,12,54,22.2
Dwyane Wade,MIA ,36,66,61,100%,89,208,42.8,45,81.70%,80,170,47.1,18.30%,9,38,23.7
Terry Rozier,BOS ,24,76,63,100%,94,207,45.4,56.5,46.90%,48,97,49.5,53.10%,46,110,41.8
Frank Kaminsky,CHA ,25,77,68,100%,91,206,44.2,49.3,60.20%,70,124,56.5,39.80%,21,82,25.6
Raymond Felton,OKC ,33,80,72,100%,85,204,41.7,47.5,61.80%,61,126,48.4,38.20%,24,78,30.8
DeMarcus Cousins,NOP ,27,45,45,100%,97,203,47.8,53,63.50%,76,129,58.9,36.50%,21,74,28.4
Harrison Barnes,DAL ,25,69,66,100%,95,202,47,51.5,70.30%,77,142,54.2,29.70%,18,60,30
Mario Hezonja,ORL ,23,66,60,100%,94,196,48,57.4,49.50%,57,97,58.8,50.50%,37,99,37.4
