name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Jabari Parker,MIL ,23,2,1,100%,3,5,60,70,40.00%,2,2,100,60.00%,1,3,33.3
Caris LeVert,BKN ,23,4,3,100%,2,5,40,40,60.00%,2,3,66.7,40.00%,0,2,0
Delon Wright,TOR ,26,3,3,100%,2,5,40,50,60.00%,1,3,33.3,40.00%,1,2,50
DeMarre Carroll,BKN ,31,5,2,100%,2,5,40,50,40.00%,1,2,50,60.00%,1,3,33.3
Jarrett Jack,NYK ,34,4,3,100%,2,5,40,40,80.00%,2,4,50,20.00%,0,1,0
Jeremy Lamb,CHA ,25,3,2,100%,2,5,40,40,60.00%,2,3,66.7,40.00%,0,2,0
E'Twaun Moore,NOP ,29,9,4,100%,1,5,20,20,60.00%,1,3,33.3,40.00%,0,2,0
Gary Harris,DEN ,23,3,3,100%,1,5,20,30,20.00%,0,1,0,80.00%,1,4,25
Courtney Lee,NYK ,32,5,3,100%,0,5,0,0,60.00%,0,3,0,40.00%,0,2,0
Wilson Chandler,DEN ,31,4,2,100%,0,5,0,0,40.00%,0,2,0,60.00%,0,3,0
Dwight Howard,CHA ,32,4,2,100%,3,4,75,75,75.00%,3,3,100,25.00%,0,1,0
Julius Randle,LAL ,23,7,3,100%,3,4,75,75,100%,3,4,75,0.00%,0,0,-
Evan Fournier,ORL ,25,2,2,100%,3,4,75,87.5,50.00%,2,2,100,50.00%,1,2,50
Thaddeus Young,IND ,29,3,3,100%,3,4,75,75,100%,3,4,75,0.00%,0,0,-
Paul Millsap,DEN ,33,4,2,100%,3,4,75,75,100%,3,4,75,0.00%,0,0,-
Trey Burke,NYK ,25,1,1,100%,3,4,75,75,75.00%,3,3,100,25.00%,0,1,0
Doug McDermott,DAL ,26,5,1,100%,2,4,50,50,100%,2,4,50,0.00%,0,0,-
Joe Ingles,UTA ,30,3,2,100%,2,4,50,75,0.00%,0,0,-,100%,2,4,50
Wayne Ellington,MIA ,30,5,3,100%,2,4,50,62.5,25.00%,1,1,100,75.00%,1,3,33.3
Marvin Williams,CHA ,31,3,3,100%,2,4,50,50,50.00%,2,2,100,50.00%,0,2,0
Marcus Morris,BOS ,28,3,2,100%,2,4,50,50,75.00%,2,3,66.7,25.00%,0,1,0
J.J. Barea,DAL ,33,2,2,100%,1,4,25,25,50.00%,1,2,50,50.00%,0,2,0
JR Smith,CLE ,32,2,2,100%,1,4,25,25,25.00%,1,1,100,75.00%,0,3,0
Terry Rozier,BOS ,24,3,1,100%,1,4,25,37.5,25.00%,0,1,0,75.00%,1,3,33.3
Paul George,OKC ,28,3,3,100%,1,4,25,37.5,50.00%,0,2,0,50.00%,1,2,50
Lou Williams,LAC ,31,1,1,100%,1,4,25,25,50.00%,1,2,50,50.00%,0,2,0
Markieff Morris,WAS ,28,5,2,100%,1,4,25,37.5,50.00%,0,2,0,50.00%,1,2,50
Darius Miller,NOP ,28,4,4,100%,0,4,0,0,0.00%,0,0,-,100%,0,4,0
Nicolas Batum,CHA ,29,2,2,100%,0,4,0,0,25.00%,0,1,0,75.00%,0,3,0
Devin Booker,PHX ,21,1,1,100%,0,4,0,0,100%,0,4,0,0.00%,0,0,-
Stephen Curry,GSW ,30,1,1,100%,3,3,100,133.3,33.30%,1,1,100,66.70%,2,2,100
Bogdan Bogdanovic,SAC ,25,2,2,100%,3,3,100,133.3,33.30%,1,1,100,66.70%,2,2,100
Maurice Harkless,POR ,25,2,2,100%,3,3,100,100,100%,3,3,100,0.00%,0,0,-
Tyreke Evans,MEM ,28,1,1,100%,3,3,100,116.7,66.70%,2,2,100,33.30%,1,1,100
Reggie Jackson,DET ,28,1,1,100%,3,3,100,100,100%,3,3,100,0.00%,0,0,-
Alex Abrines,OKC ,24,3,2,100%,3,3,100,150,0.00%,0,0,-,100%,3,3,100
Trey Lyles,DEN ,22,4,1,100%,2,3,66.7,66.7,66.70%,2,2,100,33.30%,0,1,0
Jameer Nelson,DET ,36,2,2,100%,2,3,66.7,83.3,33.30%,1,1,100,66.70%,1,2,50
Myles Turner,IND ,22,3,2,100%,2,3,66.7,66.7,100%,2,3,66.7,0.00%,0,0,-
James Harden,HOU ,28,1,1,100%,2,3,66.7,66.7,100%,2,3,66.7,0.00%,0,0,-
Frank Mason,SAC ,24,1,1,100%,2,3,66.7,66.7,66.70%,2,2,100,33.30%,0,1,0
